identifiant commerce;point geo;dea_jour_fermeture;dea_numero_rue_livraison;dea_code_postal_livraison;dea_commune_livraison;dea_nom_commerce
520488;48.852471, 2.404497;;120 rue de Bagnolet;75020;Paris;Le Saint-Germain
520659;48.806631, 2.573339;;19 Av. du Général de Gaulle;94420;Le Plessis-Trévise;Tabac Le Brazza
530393;48.839047, 2.332933;;166 Bd du Montparnasse;75014;Paris;Tabac l'Observatoire
530444;48.690001, 2.317861;Dimanche;10 rue du Dr Roux;91160;Longjumeau;Librairie des Coteau
530520;48.781734, 2.358716;;92 rue Youri Gagarine;94800;Villejuif;Tabac Presse
530535;48.702005, 2.321789;Lundi;71 rue Pierre Mendes France;91380;Chilly-Mazarin;Le Cardinal
530571;48.784344, 2.381742;Dimanche;63 Av. Paul Vaillant-Couturier;94400;Vitry-sur-Seine;Le Totem
540259;48.880661, 2.377187;Dimanche;10 Bd de la Villette;75019;Paris;Le Rendez Vous
540643;48.798248, 2.192895;Dimanche;1945 Av. Roger Salengro;92370;Chaville;La Pointe Presse
510353;48.926672, 2.261993;Dimanche;8 Pl. Louis Aragon;92700;Colombes;Le Mondial
510425;48.86797, 2.27538;;178 Av. Victor Hugo;75016;Paris;Le Lamartine
510522;48.86797, 2.27538;Dimanche;174 rue de la Pompe;75016;Paris;Plum2000
510563;48.869491, 2.223011;Dimanche;39 Av. Édouard Vaillant;92150;Suresnes;Le Rond Point
510588;48.894782, 2.322923;Dimanche;192 Bd de Malesherbes;75017;Paris;Café Malesherbes
510597;48.853806, 2.293985;;8 Pl. Falguière;75015;Paris;Tabac la Place
510618;48.827616, 2.242153;;82 rue du Chateau;92100;Boulogne-Billancourt;Comptoir des Frangin
510628;48.827616, 2.242153;Dimanche;253 Bd Jean Jaurès;92100;Boulogne-Billancourt;La Civette du Pont
510647;48.853806, 2.293985;;129 rue de Vaugirard;75015;Paris;Le Falguière
520353;48.880472, 2.488725;Dimanche;2 Av. du Gal de Gaulle C.Cial R2;93110;Rosny-sous-Bois;Civette Rosny 2
520483;48.881857, 2.416383;;159 rue de Paris;93260;Les Lilas;Le Jean Bart
520503;48.967657, 2.357364;;2 Pl. du Général Leclerc;93380;Pierrefitte-sur-Seine;Bar l'Express
520531;48.962282, 2.316664;Dimanche;63 Av. Mathieu Chazotte;95170;Deuil-la-Barre;Les Mortefontaines
520567;48.88079, 2.506624;Dimanche;162 Grande Rue;93250;Villemomble;Tabac Le Sévigné
520590;48.860773, 2.385278;;128 rue de Charonne;75011;Paris;Le 1930
520634;48.842835, 2.570692;;2 All. André Malraux;93160;Noisy-le-Grand;Le Piazza
530309;48.784344, 2.381742;;124 rue Julian Grimau;94400;Vitry-sur-Seine;Le Nemrod
530361;48.852773, 2.340696;;22 rue Saint-André des Arts;75006;Paris;Tabac Saint-Michel
530422;48.816396, 2.384721;Dimanche;81 Bd de Brandebourg;94200;Ivry-sur-Seine;Tabac de la Gare
530440;48.689817, 2.329516;Dimanche;7 Pl. Lucien Boilleau;91420;Morangis;Le Marigny
530579;48.823588, 2.415928;Dimanche;1 Av. Mar. de Lattre de Tassigny;94220;Charenton-le-Pont;L' aubrac
540239;48.894782, 2.322923;Dimanche;78 Av. de la Grande Armée;75017;Paris;Le Maillot
510038;48.892534, 2.281958;Dimanche;62 rue Baudin;92300;Levallois-Perret;L'Ariel
510239;48.955869, 2.295877;;32 rue de Paris;93800;Épinay-sur-Seine;Le Bistrot de Paris
510400;48.778134, 2.236447;Dimanche;16 rue de Versailles;92140;Clamart;Tabac Le Versailles
510464;48.884769, 2.335947;;173 rue Ordener;75018;Paris;Le Vizir
510474;48.853806, 2.293985;;3 Pl. Balard;75015;Paris;Le Balard
510490;48.923104, 2.206163;;5 Av. Gabriel Péri;95870;Bezons;Tabac de la Mairie
510499;48.90196, 2.299159;Dimanche;29 Bd du Gén. Leclerc;92110;Clichy;Royal Clichy
510543;48.880008, 2.203497;Dimanche;1 rue de la Source;92000;Nanterre;Ets la Source
510555;48.873091, 2.344131;;69 rue Saint Lazare;75009;Paris;Civette Trinité
510592;48.884769, 2.335947;Dimanche;68 rue du Poteau;75018;Paris;Tabac 68
510614;48.873091, 2.344131;;105 rue du Fbg Poissonnière;75009;Paris;Les Volcans
510626;48.819445, 2.247853;;2 Rd-Pt Victor Hugo;92130;Issy-les-Moulineaux;L'Aviation
510648;48.884769, 2.335947;;3 Pl. Hébert;75018;Paris;La Rotonde Hébertine
520332;48.92996, 2.35306;;15 Chemin d'Aubervilliers;93200;Saint-Denis;La Royale
520456;48.921914, 2.539255;;69 Av. du Mar. Leclerc;93190;Livry-Gargan;Le Lonchamps
530279;48.80992, 2.335137;Dimanche;25 Av. Vladimir Ilitch Lénine;94110;Arcueil;Le Milton
530453;48.839047, 2.332933;Dimanche;37 rue Raymond Losserand;75014;Paris;Le Fontenoy
530519;48.804137, 2.460826;;11 Av. du Général Pierre Billotte;94000;Créteil;Tabac Presse
540605;48.908254, 2.251715;Dimanche;1 rue de L'Arrivée;92250;La Garenne-Colombes;Le Celtique
510232;48.827616, 2.242153;Dimanche;99 Av. Edouard Vaillant;92100;Boulogne-Billancourt;Le Royal Tabac
510233;48.892534, 2.281958;Dimanche;51 rue Aristide Briand;92300;Levallois-Perret;Le Celtique
510458;48.81057, 2.249817;;32 rue de la République;92190;Meudon;A Rabelais
510539;48.881508, 2.232296;Dimanche;65 Q. de Dion-Bouton;92800;Puteaux;Civette de Puteaux
510593;48.892534, 2.281958;Dimanche;48 rue Gabriel Péri;92300;Levallois-Perret;Le Balto
520432;48.860773, 2.385278;;9 rue des Trois Bornes;75011;Paris;L'Amicale
520482;48.921989, 2.370849;Jeudi;11 Av. Jean Jaurès;93300;Aubervilliers;Le Rallye
520643;48.818074, 2.541709;Jeudi;181 rue Diderot;94500;Champigny-sur-Marne;Tabac Bord de Marne
530103;48.852773, 2.340696;Dimanche;30 rue Notre-Dame-des-Champs;75006;Paris;Le Calumet
530338;48.813513, 2.449794;Lundi;157 bis rue Jean Jaurès;94700;Maisons-Alfort;Le Mondial
530382;48.831735, 2.367073;;136 Av. d'Italie;75013;Paris;Pourquoi Pas
530498;48.781122, 2.29044;;151 rue Houdan;92330;Sceaux;Stardust
530565;48.856246, 2.323946;;17 rue de Bourgogne;75007;Paris;Civette  l'Assemblée
530572;48.737834, 2.398297;Dimanche;14 Voie des Saules;94310;Orly;Le St-Exupéry
540123;48.772566, 2.327217;Lundi;1 Av. Henri Barbusse;94240;L'Haÿ-les-Roses;Au Petit Robinson
540142;48.773379, 2.486271;Dimanche;3 Av. du Bicentenaire;94380;Bonneuil-sur-Marne;Bonn' News
540515;48.798248, 2.192895;Dimanche;1494 Av. Roger Salengro;92370;Chaville;Le Muguet
540552;48.8491, 2.371086;Dimanche;56 rue Jacques Hillairet;75012;Paris;Tabac Montgallet
540660;48.873091, 2.344131;Dimanche;32 rue Caumartin;75009;Paris;La Bouffarde Opéra
510181;48.853806, 2.293985;Dimanche;52-56 rue de la Croix-Nivert;75015;Paris;L‘Alliance
510234;48.894782, 2.322923;Dimanche;108 Av. des Ternes;75017;Paris;Tabac des Ternes
510424;48.869491, 2.223011;Dimanche;37 Av. Jean Jaurès;92150;Suresnes;Le Calumet
510472;48.880008, 2.203497;Lundi;1 rue de Stalingrad;92000;Nanterre;Le Balto
510495;48.91352, 2.267197;Mercredi;323 Av. d'Argenteuil;92270;Bois-Colombes;Etoile
510561;48.872522, 2.373632;Dimanche;72 Bd de Strasbourg;75010;Paris;Tabac de l'Est
510564;48.894782, 2.322923;;14 rue Poncelet;75017;Paris;Civette Ponce
510666;48.926672, 2.261993;Dimanche;81 rue Gabriel Péri;92700;Colombes;Le Gala
520161;48.987779, 2.422539;;5 Av. Pierre Sémard;95400;Arnouville;Café de la Gare
520294;48.903216, 2.576477;Dimanche;43 rue Henri Barbusse;93370;Montfermeil;Tabac de la Mairie
520467;48.824282, 2.537435;;77 rue du Général de Gaulle;94350;Villiers-sur-Marne;Le Rallye
520510;48.818074, 2.541709;Dimanche;190 Bd  de Stalingrad;94500;Champigny-sur-Marne;Le Balto
520521;48.920796, 2.483518;Lundi;1 Bd de Strasbourg;93600;Aulnay-sous-Bois;Le Strasbourg
530079;48.783563, 2.523177;Dimanche;9 rte de la Libération;94430;Chennevières-sur-Marne;A l'Hirondelle
530181;48.80992, 2.335137;Dimanche;71 Av. Aristide Briand;94110;Arcueil;La Croix d'Arcueil
530447;48.823588, 2.415928;;197 rue de Paris;94220;Charenton-le-Pont;Le Mogador
