Geo Point;Geo Shape;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode_;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.53289010324473, 2.2900825138403964;"{""coordinates"": [2.290082513840396, 48.53289010324473], ""type"": ""Point""}";101;Bouray;;;59830;Bouray;47905;Bouray;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;1;0;647587.8337;6826086.0185;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/591a3d854462a7db2751395e662d4e2c;Bouray
48.78031379639699, 2.312307716888594;"{""coordinates"": [2.312307716888594, 48.78031379639699], ""type"": ""Point""}";102;Bourg-la-Reine;;;70033;Bourg-la-Reine;43097;Bourg-la-Reine;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;649468.2085;6853577.9767;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/f0ebdb0b87223739c9f1195e894671c1;Bourg-la-Reine
48.43449061286291, 2.3766728185069916;"{""coordinates"": [2.376672818506992, 48.43449061286291], ""type"": ""Point""}";106;Boutigny;;;59565;Boutigny;47895;Boutigny;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;1;0;653894.1827;6815094.2882;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/e7ed6bbd66f9796902fee75b4b443a54;Boutigny
48.3112962747666, 2.0035250000979894;"{""coordinates"": [2.003525000097989, 48.3112962747666], ""type"": ""Point""}";18;Angerville;;;59403;Angerville;47917;Angerville;NR;NR;GL;GL;TRAIN;0;0;0;0;0;SNCF;1;0;626121.8463;6801685.3313;;Angerville
48.94679694208001, 2.25789748402742;"{""coordinates"": [2.25789748402742, 48.94679694208001], ""type"": ""Point""}";24;Argenteuil;;;65063;Argenteuil;47875;Argenteuil;A01852;C01739;TRAIN J;J;TRAIN;0;0;0;0;0;SNCF;1;1;645644.2235;6872125.5748;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/eb304b4c7df86e2202acf8e0ac539751;Argenteuil
48.85364805716894, 2.2794870649625665;"{""coordinates"": [2.279487064962566, 48.85364805716894], ""type"": ""Point""}";40;Avenue du Président Kennedy;Maison de Radio France;;71212;Avenue du Président Kennedy Maison de Radio France;45419;Avenue du Président Kennedy Maison de Radio France;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;1;0;647131.0079;6861753.2577;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/591a3d854462a7db2751395e662d4e2c;Avenue du Président Kennedy
48.88268104666968, 2.8543159264638955;"{""coordinates"": [2.854315926463896, 48.88268104666968], ""type"": ""Point""}";215;Couilly-Saint-Germain-Quincy;;;68505;Couilly - Saint-Germain - Quincy;47327;Couilly - Saint-Germain - Quincy;A01844;C01730;TRAIN P;P;TRAIN;0;0;0;0;0;SNCF;1;0;689315.971;6864750.2611;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/3216a7aca01ab7c67110982329e4a82e;Couilly-Saint-Germain-Quincy
48.8595573168744, 2.9057369645485345;"{""coordinates"": [2.905736964548534, 48.8595573168744], ""type"": ""Point""}";222;Crécy-la-Chapelle;;;68293;Crécy-la-Chapelle;47894;Crécy-la-Chapelle;A01844;C01730;TRAIN P;P;TRAIN;TRAIN P;0;0;0;0;SNCF;1;1;693083.9625;6862173.2561;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/3216a7aca01ab7c67110982329e4a82e;Crécy-la-Chapelle
48.98064610042599, 2.272084772747632;"{""coordinates"": [2.272084772747632, 48.98064610042599], ""type"": ""Point""}";265;Ermont-Eaubonne;;;65669;Ermont - Eaubonne;47898;Ermont - Eaubonne;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;1;1;646718.0509;6875879.9697;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/591a3d854462a7db2751395e662d4e2c;Ermont-Eaubonne
48.577508489431835, 2.192063068770897;"{""coordinates"": [2.192063068770897, 48.577508489431835], ""type"": ""Point""}";109;Breuillet;Bruyères-Le-Châtel;;60028;Breuillet - Bruyères-le-Châtel;47925;Breuillet - Bruyères-le-Châtel;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;1;0;640402.1892;6831115.3788;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/591a3d854462a7db2751395e662d4e2c;Breuillet
49.036463980725365, 2.0795349399973735;"{""coordinates"": [2.079534939997373, 49.036463980725365], ""type"": ""Point""}";129;Cergy-Préfecture;;;66696;Cergy Préfecture;44559;Cergy Préfecture;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;1;0;632696.7168;6882234.2021;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/2922fd9716bdb3b0487b2960b932652a;Cergy-Préfecture
48.9795166182837, 2.2921687025986754;"{""coordinates"": [2.292168702598675, 48.9795166182837], ""type"": ""Point""}";143;Champ de Courses d'Enghien;;;65663;Champ de Courses d'Enghien;46477;Champ de Courses d'Enghien;A01849;C01737;TRAIN H;H;TRAIN;0;0;0;0;0;SNCF;1;0;648186.9888;6875741.0025;https://data.iledefrance.fr/api/explore/v2.1/catalog/datasets/gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne/files/3544694520ec675b39cbddf7993a4b79;Champ de Courses d'Enghien
