Geo Point;Geo Shape;insee;objectid;pop1946;psdc1962;psdc1968;psdc1975;psdc1982;psdc1990;popexh1999;psdc82df99;psdc90df99;popmun2006;popmun2007;popmun2008;popmun2009;popmun2010;popmun2011;popmun2012;popmun2013;popmun2014;popmun2015;tcam1217;popmun2016;popmun2017;objectid_1;popmun2018;tcam1318;tcam1319;popmun2019
48.922738237964474, 2.7084823201164117;"{""coordinates"": [2.7084823201164117, 48.922738237964474], ""type"": ""Point""}";77005;22;903;1176;1201;1715;1714;2128;2482;1714;2128;3198;3239.98;3255;3248;3239;3229;3209;3245;3247;3253;0.42638883;3259;3278;22;3274;0.18000000000000002;0.2;3281
48.84885675601782, 3.0895086453295657;"{""coordinates"": [3.0895086453295657, 48.84885675601782], ""type"": ""Point""}";77013;49;336;252;251;240;287;296;332;287;296;379;385.02;390;388;386;386;387;379;370;360;-1.65601404;357;356;49;358;-1.13;-0.9;359
49.088649233021776, 1.8694667935073395;"{""coordinates"": [1.8694667935073395, 49.088649233021776], ""type"": ""Point""}";95040;56;632;570;575;655;761;765;853;761;765;911;921.4;917;914;904;920;909;894;877;862;-1.2868201;858;852;56;855;-0.89;-0.7000000000000001;857
48.92324473857008, 3.2821019833281793;"{""coordinates"": [3.2821019833281793, 48.92324473857008], ""type"": ""Point""}";77024;74;352;363;333;235;235;333;354;235;333;352;351.52;351;352;352;349;345;342;339;339;1.07795756;352;364;74;377;1.9700000000000002;1.9;382
49.040902453875056, 1.4807745914500436;"{""coordinates"": [1.4807745914500436, 49.040902453875056], ""type"": ""Point""}";78068;100;457;434;418;512;628;745;802;628;745;924;931.68;932;930;929;927;930;920;909;899;-0.8976934700000001;888;889;100;893;-0.5900000000000001;-0.5;894
49.01905631789077, 2.0041169045296634;"{""coordinates"": [2.0041169045296634, 49.01905631789077], ""type"": ""Point""}";95074;112;187;298;336;382;464;598;687;464;598;722;726.11;733;740;747;746;775;773;771;769;-0.78646725;752;745;112;782;0.23;0.9;818
48.68950960223149, 2.533817184798822;"{""coordinates"": [2.533817184798822, 48.68950960223149], ""type"": ""Point""}";91097;148;274;578;2360;5990;5982;5924;6361;5982;5924;6653;6535.72;6430;6325;6292;6241;6489;6709;6928;7027;3.08057713;7282;7552;148;7767;2.97;2.9;7983
49.026000968786214, 1.8126713454118797;"{""coordinates"": [1.8126713454118797, 49.026000968786214], ""type"": ""Point""}";78113;165;252;279;300;349;369;460;532;369;460;640;655;670;691;687;683;679;704;696;694;0.35098845;693;691;165;696;-0.23;-0.2;696
49.16060050285204, 2.3296540147060334;"{""coordinates"": [2.3296540147060334, 49.16060050285204], ""type"": ""Point""}";95116;168;402;670;962;1582;1546;3162;3392;1546;3162;3248;3297;3429;3565;3700;3761;3976;4078;4157;4237;1.68754722;4303;4323;168;4326;1.19;1.1;4347
48.98432744099127, 1.6737656429747783;"{""coordinates"": [1.6737656429747783, 48.98432744099127], ""type"": ""Point""}";78118;175;524;715;1090;1064;1043;2066;2206;1043;2066;2256;2243.01;2212;2286;2346;2406;2619;2811;2930;3049;3.6489672800000004;3167;3133;175;3111;2.05;2.7;3306
