from_type;from_id;from_name;line_id;line_name;to_type;to_id;to_name;position_average;position;position_max;equipment_type
stop_point;21902;République;C01373;3;access_point;50148720;bd Saint-Martin;Arrière;5;5;
stop_point;21902;République;C01373;3;stop_point;22199;République;Arrière;5;5;
stop_point;21903;République;C01375;5;access_point;50148407;pl. de la République;Avant;1;5;
stop_point;21903;République;C01375;5;access_point;50148720;bd Saint-Martin;Avant;1;5;
stop_point;21903;République;C01375;5;access_point;50148722;bd Voltaire;Milieu;3;5;
stop_point;21903;République;C01375;5;stop_point;462962;République;Milieu;3;5;
stop_point;21906;Havre-Caumartin;C01373;3;access_point;50147906;r. de Caumartin;Arrière;5;5;
stop_point;21909;Grands Boulevards;C01379;9;access_point;50148299;r. du Fbg Montmartre;Arrière;5;5;Escalator
stop_point;21909;Grands Boulevards;C01379;9;access_point;50148300;r. Montmartre;Arrière;5;5;Escalator
stop_point;21909;Grands Boulevards;C01379;9;access_point;50148303;r. Saint-Fiacre;Avant;1;5;
stop_point;21909;Grands Boulevards;C01379;9;stop_point;22197;Grands Boulevards;Avant;1;5;
stop_point;21911;Saint-Augustin;C01379;9;stop_point;462970;Saint-Lazare;Avant;1;5;
stop_point;21912;Saint-Philippe du Roule;C01379;9;access_point;50148283;r. La Boétie;Arrière;5;5;
stop_point;21917;Trocadéro;C01379;9;access_point;50148273;av. Kléber;Avant;1;5;
stop_point;21917;Trocadéro;C01379;9;stop_point;22164;Trocadéro;Avant;1;5;
stop_point;21918;République;C01379;9;access_point;50148717;av. de la République;Avant;1;5;
stop_point;21918;République;C01379;9;access_point;50148721;r. du Temple;Avant;1;5;
stop_point;21918;République;C01379;9;stop_point;22199;République;Milieu;3;5;
stop_point;21918;République;C01379;9;stop_point;462946;République;Milieu;3;5;
stop_point;21919;Nation;C01379;9;access_point;50148328;av.de Taillebourg;Avant;1;5;
stop_point;21919;Nation;C01379;9;stop_point;22072;Nation;Milieu;3;5;
stop_point;21920;Strasbourg - Saint-Denis;C01379;9;access_point;50147823;bd de Strasbourg;Avant;1;5;
stop_point;21921;Richelieu - Drouot;C01379;9;stop_point;22196;Richelieu - Drouot;Arrière;5;5;
stop_point;21926;Havre-Caumartin;C01379;9;access_point;50147876;r. du Havre;Milieu;3;5;
stop_point;21926;Havre-Caumartin;C01379;9;access_point;50147905;r. Auber;Milieu;3;5;
stop_point;21927;Iéna;C01379;9;access_point;50148274;av. d'Iéna;Avant;1;5;
stop_point;21927;Iéna;C01379;9;access_point;50148275;av. du Président Wilson;Avant;1;5;
stop_point;21931;Franklin D. Roosevelt;C01379;9;access_point;50147972;Champs-Élysées;Arrière;5;5;
stop_point;21932;Chaussée d'Antin - La Fayette;C01379;9;access_point;50148095;bd Haussmann;Avant;1;5;
stop_point;21932;Chaussée d'Antin - La Fayette;C01379;9;access_point;50148096;r. La Fayette;Avant;1;5;
stop_point;21932;Chaussée d'Antin - La Fayette;C01379;9;access_point;50148101;r. Taitbout;Arrière;5;5;
stop_point;21933;Bonne Nouvelle;C01379;9;stop_point;22198;Bonne Nouvelle;Avant;1;5;Escalator
stop_point;21934;Charonne;C01379;9;access_point;50148318;bd Voltaire;Milieu;3;5;
stop_point;21936;Maraîchers;C01379;9;access_point;50148331;r. des Pyrénées;Milieu;3;5;
stop_point;21937;République;C01381;11;access_point;50148406;sq. Henri Christiné;Avant;1;4;
stop_point;21937;République;C01381;11;access_point;50148717;av. de la République;Milieu;2;4;
stop_point;21937;République;C01381;11;stop_point;21902;République;Avant;1;4;
stop_point;21937;République;C01381;11;stop_point;462946;République;Avant;1;4;
stop_point;21937;République;C01381;11;stop_point;462963;République;Avant;1;4;
stop_point;21939;Billancourt;C01379;9;access_point;50148236;r. Billancourt;Avant;1;5;
stop_point;21940;Marcel Sembat;C01379;9;access_point;50148244;av. André Morizet;Avant;1;5;
stop_point;21940;Marcel Sembat;C01379;9;access_point;50148246;r. Danjou;Arrière;5;5;
stop_point;21941;Mairie de Montreuil;C01379;9;access_point;50148344;av. Walwein;Avant;1;5;
stop_point;21941;Mairie de Montreuil;C01379;9;access_point;50148345;sq. Jean Jaurès;Avant;1;5;
stop_point;21941;Mairie de Montreuil;C01379;9;access_point;50148346;bd Paul Vaillant-Couturier;Avant;1;5;
stop_point;21941;Mairie de Montreuil;C01379;9;access_point;50148347;av. Pasteur;Avant;1;5;
stop_point;21945;Gambetta;C01386;3B;access_point;50147894;pl. Martin Nadaud;Arrière;3;3;
stop_point;21945;Gambetta;C01386;3B;access_point;50147896;r. Orfila;Arrière;3;3;
stop_point;21947;Porte des Lilas;C01386;3B;stop_point;21949;Porte des Lilas;Milieu;1;3;
stop_point;21949;Porte des Lilas;C01381;11;access_point;50148656;bd Sérurier;Arrière;4;4;
stop_point;21949;Porte des Lilas;C01381;11;access_point;50148658;bd Mortier;Arrière;4;4;
stop_point;21949;Porte des Lilas;C01381;11;stop_point;463262;Porte des Lilas;Arrière;4;4;
stop_point;21951;Place des Fêtes;C01381;11;access_point;50148055;r. de Crimée;Avant;1;4;
stop_point;21952;Jaurès;C01375;5;access_point;50147925;av. Jean Jaurès;Arrière;5;5;
stop_point;21952;Jaurès;C01375;5;access_point;50148784;bd de la Villette;Arrière;5;5;
stop_point;21952;Jaurès;C01375;5;stop_point;22118;Jaurès;Milieu;3;5;
stop_point;21956;Cour Saint-Emilion;C01384;14;access_point;50148878;pass. St-Émilion;Milieu;4;6;Ascenseur
stop_point;21956;Cour Saint-Emilion;C01384;14;access_point;50148878;pass. St-Émilion;Milieu;2;6;Escalator
stop_point;21956;Cour Saint-Emilion;C01384;14;access_point;50148879;r. François Truffaut;Avant;1;6;
stop_point;21957;Bercy;C01384;14;access_point;50148884;r. de Bercy;Arrière;6;6;
stop_point;21957;Bercy;C01384;14;stop_point;463128;Bercy;Milieu;3;6;
stop_point;21957;Bercy;C01384;14;stop_point;463128;Bercy;Avant;1;6;Ascenseur
stop_point;21958;Gare de Lyon;C01384;14;stop_point;22083;Gare de Lyon;Avant;1;6;
stop_point;21959;Châtelet;C01384;14;stop_point;22087;Châtelet;Milieu;3;6;
stop_point;21959;Châtelet;C01384;14;stop_point;22092;Châtelet;Milieu;3;6;
stop_point;21960;Pyramides;C01384;14;stop_point;463283;Pyramides;Avant;1;6;
stop_point;21962;Saint-Lazare;C01384;14;access_point;50148491;r. d'Amsterdam;Milieu;3;6;
stop_point;21962;Saint-Lazare;C01384;14;stop_point;21963;Saint-Lazare;Arrière;5;6;Escalator
stop_point;21962;Saint-Lazare;C01384;14;stop_point;21964;Saint-Lazare;Arrière;5;6;Escalator
stop_point;21962;Saint-Lazare;C01384;14;stop_point;21964;Saint-Lazare;Milieu;3;6;Ascenseur
stop_point;21962;Saint-Lazare;C01384;14;stop_point;21964;Saint-Lazare;Milieu;3;6;
stop_point;21962;Saint-Lazare;C01384;14;stop_point;22218;Saint-Lazare;Milieu;3;6;
stop_point;21962;Saint-Lazare;C01384;14;stop_point;462971;Saint-Lazare;Arrière;5;6;Escalator
stop_point;21962;Saint-Lazare;C01384;14;stop_point;462971;Saint-Lazare;Milieu;3;6;
stop_point;21963;Saint-Lazare;C01373;3;access_point;50148491;r. d'Amsterdam;Avant;1;5;
stop_point;21963;Saint-Lazare;C01373;3;access_point;50148492;pl. du Havre;Avant;1;5;
stop_point;21963;Saint-Lazare;C01373;3;stop_point;21962;Saint-Lazare;Avant;1;5;
stop_point;21963;Saint-Lazare;C01373;3;stop_point;22218;Saint-Lazare;Arrière;5;5;
stop_point;21964;Saint-Lazare;C01382;12;access_point;50147868;r. de l'Arcade;Milieu;3;5;
stop_point;21964;Saint-Lazare;C01382;12;access_point;50148663;passage du Havre;Milieu;3;5;
stop_point;21964;Saint-Lazare;C01382;12;stop_point;21962;Saint-Lazare;Avant;1;5;
stop_point;21964;Saint-Lazare;C01382;12;stop_point;21963;Saint-Lazare;Avant;1;5;
stop_point;21964;Saint-Lazare;C01382;12;stop_point;22218;Saint-Lazare;Avant;1;5;
stop_point;21964;Saint-Lazare;C01382;12;stop_point;462970;Saint-Lazare;Avant;1;5;
stop_point;21964;Saint-Lazare;C01382;12;stop_point;462971;Saint-Lazare;Avant;1;5;
stop_point;21965;Madeleine;C01382;12;access_point;50148178;r. Tronchet;Milieu;3;5;
stop_point;21965;Madeleine;C01382;12;stop_point;21961;Madeleine;Milieu;3;5;
stop_point;21965;Madeleine;C01382;12;stop_point;463064;Madeleine;Milieu;3;5;
stop_point;21966;Châtelet;C01381;11;access_point;50147798;r. Saint-Martin;Avant;1;4;
stop_point;21966;Châtelet;C01381;11;stop_point;22087;Châtelet;Avant;1;4;
stop_point;21966;Châtelet;C01381;11;stop_point;463160;Châtelet;Avant;1;4;
stop_point;21968;Jussieu;C01380;10;stop_point;22386;Jussieu;Milieu;3;5;
stop_point;21969;La Motte-Picquet - Grenelle;C01380;10;access_point;50148030;r. du Commerce;Avant;1;5;
