Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
11;Métro;HOTEL DE VILLE;12307363;1;11;;;;Paris;4
17;Métro;ESPLANADE DE LA DEFENSE;9883008;1;;;;;Puteaux;
19;Métro;FRANKLIN D. ROOSEVELT;9545487;1;9;;;;Paris;8
22;Métro;NATION;8834660;1;2;6;9;;Paris;12
28;Métro;PLACE CLICHY;8020440;2;13;;;;Paris;17
35;Métro;CHATEAU ROUGE;7306788;4;;;;;Paris;18
6;Métro;BIBLIOTHEQUE;19754334;14;;;;;Paris;13
37;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7215915;7;;;;;Aubervilliers;
12;Métro;CHATELET;10766712;1;4;7;11;14;Paris;1
40;Métro;BIR-HAKEIM;6903648;6;;;;;Paris;15
15;Métro;OPERA;10501357;3;7;8;;;Paris;9
43;Métro;MAIRIE DE MONTROUGE;6849601;4;;;;;Montrouge;
18;Métro;PALAIS-ROYAL;9592920;1;7;;;;Paris;1
60;Métro;COUR SAINT-EMILION;6043808;14;;;;;Paris;12
20;Métro;STRASBOURG-SAINT-DENIS;9524965;4;8;9;;;Paris;2
66;Métro;VILLIERS;5667552;2;3;;;;Paris;17
24;Métro;PORTE DE CLIGNANCOURT;8393535;4;;;;;Paris;18
80;Métro;SEVRES-BABYLONE;5037509;10;12;;;;Paris;7
25;Métro;HAVRE-CAUMARTIN;8277127;3;9;;;;Paris;9
81;Métro;RICHELIEU-DROUOT;5014491;8;9;;;;Paris;9
36;Métro;CHARLES DE GAULLE-ETOILE;7296559;1;2;6;;;Paris;8
87;Métro;PLAISANCE;4784211;13;;;;;Paris;14
42;Métro;STALINGRAD;6891050;2;5;7;;;Paris;19
88;Métro;SAINT-DENIS-UNIVERSITE;4770181;13;;;;;Saint Denis;
48;Métro;LA CHAPELLE;6534340;2;;;;;Paris;9
91;Métro;CRETEIL-PREFECTURE;4663191;8;;;;;Créteil;
53;Métro;LES SABLONS;6314665;1;;;;;Neuilly Sur Seine;
94;Métro;BONNE NOUVELLE;4583027;8;9;;;;Paris;10
55;Métro;SAINT-MICHEL;6286034;4;;;;;Paris;5
96;Métro;GLACIERE;4498939;6;;;;;Paris;13
56;Métro;PORTE D'ORLEANS;6259225;4;;;;;Paris;14
97;Métro;PORTE DE CLICHY;4495978;13;;;;;Paris;17
57;Métro;SAINT-MANDE-TOURELLE;6245865;1;;;;;Saint Mandé;
100;Métro;PEREIRE;4446732;3;;;;;Paris;17
59;Métro;PYRAMIDES;6069724;7;14;;;;Paris;1
119;Métro;LA MUETTE;3991922;9;;;;;Paris;16
1;Métro;GARE DU NORD;51141374;4;5;;;;Paris;10
61;Métro;MARCADET-POISSONNIERS;5973655;4;12;;;;Paris;18
120;Métro;MENILMONTANT;3943809;2;;;;;Paris;11
2;Métro;SAINT-LAZARE;46923920;3;9;12;13;14;Paris;8
62;Métro;MIROMESNIL;5908201;9;13;;;;Paris;8
123;Métro;FORT D'AUBERVILLIERS;3889085;7;;;;;Aubervilliers;
3;Métro;GARE DE LYON;36512570;1;14;A;;;Paris;12
64;Métro;JAURES;5836196;2;5;7bis;;;Paris;19
126;Métro;SAINT-GERMAIN DES PRES;3866889;4;;;;;Paris;6
8;Métro;LA DEFENSE;16213921;1;;;;;Puteaux;
71;Métro;PIGALLE;5599495;2;12;;;;Paris;18
127;Métro;EGLISE DE PANTIN;3843796;5;;;;;Pantin;
13;Métro;BELLEVILLE;10735544;2;11;;;;Paris;10
73;Métro;MARCEL SEMBAT;5521946;9;;;;;Boulogne Billancourt;
128;Métro;VICTOR HUGO;3841033;2;;;;;Paris;16
16;Métro;GARE D'AUSTERLITZ;9887549;5;10;;;;Paris;13
75;Métro;REAUMUR-SEBASTOPOL;5291106;3;4;;;;Paris;3
138;Métro;ANATOLE FRANCE;3533091;3;;;;;Levallois-Perret;
23;Métro;MADELEINE;8473016;8;12;14;;;Paris;8
78;Métro;PONT DE LEVALLOIS-BECON;5068483;3;;;;;Levallois-Perret;
139;Métro;POISSONNIERE;3466034;7;;;;;Paris;10
4;Métro;MONTPARNASSE-BIENVENUE;29857740;4;6;12;13;;Paris;14
27;Métro;MAIRIE DE MONTREUIL;8106589;9;;;;;Montreuil;
89;Métro;ALESIA;4764374;4;;;;;Paris;14
5;Métro;GARE DE L'EST;22443106;4;5;7;;;Paris;10
141;Métro;VAUGIRARD;3445009;12;;;;;Paris;15
7;Métro;REPUBLIQUE;16596521;3;5;8;9;11;Paris;11
38;Métro;VILLEJUIF-LOUIS ARAGON;7198931;7;;;;;Villejuif;
98;Métro;PASTEUR;4493457;6;12;;;;Paris;9
9;Métro;LES HALLES;16069170;4;;;;;Paris;1
152;Métro;GARIBALDI;3330349;13;;;;;Saint Ouen;
10;Métro;BASTILLE;13151192;1;5;8;;;Paris;12
44;Métro;GRANDS BOULEVARDS;6807424;8;9;;;;Paris;9
103;Métro;ALMA-MARCEAU;4382709;9;;;;;Paris;8
14;Métro;PLACE D'ITALIE;10577276;5;6;7;;;Paris;13
164;Métro;PARMENTIER;3103492;3;;;;;Paris;11
26;Métro;PORTE MAILLOT;8226552;1;;;;;Paris;16
50;Métro;CHATEAU DE VINCENNES;6353285;1;;;;;Vincennes;
121;Métro;DENFERT-ROCHEREAU;3911586;4;6;;;;Paris;14
21;Métro;TROCADERO;9327124;6;9;;;;Paris;16
166;Métro;MAIRIE D'IVRY;3074561;7;;;;;Ivry;
31;Métro;OLYMPIADES;7912359;14;;;;;Paris;13
51;Métro;MAIRIE DE CLICHY;6342058;13;;;;;Clichy;
124;Métro;LES COURTILLES;3886523;13;;;;;Asnières sur Seine;
29;Métro;BARBES-ROCHECHOUART;7974496;2;4;;;;Paris;18
167;Métro;SAINT-AUGUSTIN;3052723;9;;;;;Paris;8
33;Métro;PORTE DE VINCENNES;7633984;1;;;;;Paris;12
58;Métro;CONCORDE;6115023;1;8;12;;;Paris;8
125;Métro;CHATEAU D'EAU;3878260;4;;;;;Paris;10
30;Métro;LA MOTTE-PICQUET-GRENELLE;7958383;6;8;10;;;Paris;15
168;Métro;PERNETY;3050541;13;;;;;Paris;14
46;Métro;GEORGE V;6643262;1;;;;;Paris;8
72;Métro;GALLIENI;5595343;3;;;;;Bagnolet;
134;Métro;CHARONNE;3652338;9;;;;;Paris;12
32;Métro;BOBIGNY-PABLO PICASSO;7879929;5;;;;;Bobigny;
170;Métro;QUAI DE LA GARE;3033927;6;;;;;Paris;13
52;Métro;REUILLY-DIDEROT;6328040;1;8;;;;Paris;12
82;Métro;GABRIEL PERI;4998394;13;;;;;Asnières;
135;Métro;DUROC;3596220;10;13;;;;Paris;7
34;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;7312371;7;9;;;;Paris;9
181;Métro;SAINT-MAUR;2924501;3;;;;;Paris;11
54;Métro;BERCY;6311543;6;14;;;;Paris;12
86;Métro;DAUMESNIL;4954004;6;8;;;;Paris;12
137;Métro;CRETEIL-UNIVERSITE;3536972;8;;;;;Créteil;
39;Métro;CHATILLON-MONTROUGE;7196503;13;;;;;Chatillon;
183;Métro;PYRENEES;2920049;11;;;;;Paris;20
65;Métro;PORTE DE VERSAILLES;5823995;12;;;;;Paris;15
92;Métro;PORTE DE VANVES;4660158;13;;;;;Paris;14
140;Métro;MALAKOFF-PLATEAU DE VANVES;3454231;13;;;;;Malakoff;
41;Métro;PONT DE NEUILLY;6902027;1;;;;;Neuilly Sur Seine;
193;Métro;ROME;2753714;2;;;;;Paris;17
69;Métro;PORTE DE PANTIN;5615256;5;;;;;Paris;19
95;Métro;COLONEL FABIEN;4511921;2;;;;;Paris;10
144;Métro;CORENTIN CELTON;3438335;12;;;;;Issy Les Moulineaux;
45;Métro;GAMBETTA;6798910;3;3bis;;;;Paris;20
194;Métro;GAITE;2713799;13;;;;;Paris;14
70;Métro;ODEON;5600764;4;10;;;;Paris;6
118;Métro;GUY MOQUET;4004960;13;;;;;Paris;17
146;Métro;SENTIER;3420249;3;;;;;Paris;3
47;Métro;INVALIDES;6540934;8;13;;;;Paris;7
