stop_point_id;accessibility_level_id;accessibility_level_name;commentaire;stop_name;stop_point_geopoint
stop_point:IDFM:monomodalStopPlace:43066;4;train accessible sur demande auprès d'un agent en station;;Antony;48.754632057173126, 2.300890371505836
stop_point:IDFM:monomodalStopPlace:45873;4;train accessible sur demande auprès d'un agent en station;;Auber;48.872348840718196, 2.3296591495793595
stop_point:IDFM:monomodalStopPlace:44493;4;train accessible sur demande auprès d'un agent en station;;Bagneux;48.79333690627149, 2.3220087047421583
stop_point:IDFM:monomodalStopPlace:411332;1;gare ou arrêt non accessible;;Boran-sur-Oise;49.16664871633883, 2.362237794019318
stop_point:IDFM:monomodalStopPlace:47517;6;véhicule accessible en toute autonomie;;Bouffémont - Moisselles;49.045103567466136, 2.3229000286671555
stop_point:IDFM:monomodalStopPlace:47124;1;gare ou arrêt non accessible;;Bourron-Marlotte - Grez;48.332451033464054, 2.6918764214147592
stop_point:IDFM:monomodalStopPlace:43098;3;train accessible sur réservation préalable auprès du service AssistenGare;;Brétigny;48.60664906621052, 2.3019573828860596
stop_point:IDFM:monomodalStopPlace:43099;1;gare ou arrêt non accessible;;Breuillet Village;48.56433413404574, 2.170354257290333
stop_point:IDFM:monomodalStopPlace:47533;1;gare ou arrêt non accessible;;Bruyères-sur-Oise;49.15511620671838, 2.32483287423228
stop_point:IDFM:monomodalStopPlace:43102;1;gare ou arrêt non accessible;;Buno - Gironville;48.37149489082515, 2.3872541083159335
stop_point:IDFM:monomodalStopPlace:43103;4;train accessible sur demande auprès d'un agent en station;;Bures-sur-Yvette;48.69621022314541, 2.1643461393269345
stop_point:IDFM:monomodalStopPlace:47897;3;train accessible sur réservation préalable auprès du service AssistenGare;;Cergy Saint-Christophe;49.049642166828754, 2.0345219282999176
stop_point:IDFM:monomodalStopPlace:46477;1;gare ou arrêt non accessible;;Champ de Courses d'Enghien;48.9796949197308, 2.291148632256432
stop_point:IDFM:monomodalStopPlace:58270;4;train accessible sur demande auprès d'un agent en station;;Champigny;48.80682309456137, 2.510538043646919
stop_point:IDFM:monomodalStopPlace:411461;1;gare ou arrêt non accessible;;Champigny-sur-Yonne;48.32421062271411, 3.130154840410363
stop_point:IDFM:monomodalStopPlace:45102;1;gare ou arrêt non accessible;Ligne A et B accessibles sur demande auprès d'un agent en station. Ligne D non accessible.;Châtelet les Halles;48.86174503191322, 2.34697651043533
stop_point:IDFM:monomodalStopPlace:53783;4;train accessible sur demande auprès d'un agent en station;;Chatou - Croissy;48.88519702561107, 2.1559376624708975
stop_point:IDFM:monomodalStopPlace:43241;3;train accessible sur réservation préalable auprès du service AssistenGare;;Chaville Rive Droite;48.81299614830529, 2.1885894806735937
stop_point:IDFM:monomodalStopPlace:47447;3;train accessible sur réservation préalable auprès du service AssistenGare;;Conflans-Sainte-Honorine;48.996919424234726, 2.09871661352047
stop_point:IDFM:monomodalStopPlace:47327;1;gare ou arrêt non accessible;;Couilly - Saint-Germain - Quincy;48.8827095608886, 2.8541379702257133
stop_point:IDFM:monomodalStopPlace:43117;3;train accessible sur réservation préalable auprès du service AssistenGare;;Coulommiers;48.80805936234078, 3.0812613115733436
stop_point:IDFM:monomodalStopPlace:47894;1;gare ou arrêt non accessible;;Crécy-la-Chapelle;48.859557101380915, 2.905450103333207
stop_point:IDFM:monomodalStopPlace:411396;1;gare ou arrêt non accessible;;Crépy-en-Valois;49.23108254935135, 2.8880999806451184
stop_point:IDFM:monomodalStopPlace:46286;3;train accessible sur réservation préalable auprès du service AssistenGare;;Créteil Pompadour;48.771254072297346, 2.435315840251248
stop_point:IDFM:monomodalStopPlace:43122;3;train accessible sur réservation préalable auprès du service AssistenGare;;Drancy;48.932732553959134, 2.454883180745302
stop_point:IDFM:monomodalStopPlace:43073;1;gare ou arrêt non accessible;;Écouen - Ézanville;49.02319914892831, 2.3622367893055722
stop_point:IDFM:monomodalStopPlace:415484;1;gare ou arrêt non accessible;;Égly;48.582715781664064, 2.2234625238542307
stop_point:IDFM:monomodalStopPlace:47882;1;gare ou arrêt non accessible;;Épône - Mézières;48.96340497197892, 1.809133387838305
stop_point:IDFM:monomodalStopPlace:43079;1;gare ou arrêt non accessible;;Éragny - Neuville;49.01790068888594, 2.090571123307668
stop_point:IDFM:monomodalStopPlace:411455;1;gare ou arrêt non accessible;;Étigny - Véron;48.13765030143217, 3.2900826338816094
stop_point:IDFM:monomodalStopPlace:43081;1;gare ou arrêt non accessible;;Étréchy;48.49387742150091, 2.1947692381982216
stop_point:IDFM:monomodalStopPlace:43123;1;gare ou arrêt non accessible;;Fontaine-le-Port;48.48734840615557, 2.750465255041539
stop_point:IDFM:monomodalStopPlace:43044;3;train accessible sur réservation préalable auprès du service AssistenGare;;Gagny;48.883728731604535, 2.5254046016945138
stop_point:IDFM:monomodalStopPlace:47903;1;gare ou arrêt non accessible;;Garancières - La Queue;48.810463686279576, 1.7645793224017485
stop_point:IDFM:monomodalStopPlace:47916;1;gare ou arrêt non accessible;;Gare d'Andrésy - Les Coutayes;48.974620752632916, 2.0486677678528
stop_point:IDFM:monomodalStopPlace:43238;3;train accessible sur réservation préalable auprès du service AssistenGare;;Gare Montparnasse;48.83841119933774, 2.316388731382968
stop_point:IDFM:monomodalStopPlace:46832;1;gare ou arrêt non accessible;;Gazeran;48.62603010015844, 1.7731940021017505
stop_point:IDFM:monomodalStopPlace:43130;3;train accessible sur réservation préalable auprès du service AssistenGare;;Gennevilliers;48.93282405536431, 2.307982254553742
stop_point:IDFM:monomodalStopPlace:47888;4;train accessible sur demande auprès d'un agent en station;;Gif-sur-Yvette;48.69816908612799, 2.136467766743371
stop_point:IDFM:monomodalStopPlace:47876;3;train accessible sur réservation préalable auprès du service AssistenGare;;Goussainville;49.02341075826703, 2.4625658079312593
stop_point:IDFM:monomodalStopPlace:45860;1;gare ou arrêt non accessible;;Grand Bourg;48.64880840591746, 2.4348387319350167
stop_point:IDFM:monomodalStopPlace:43131;1;gare ou arrêt non accessible;;Gretz-Armainvilliers;48.74645539980236, 2.727167738339898
stop_point:IDFM:monomodalStopPlace:43134;1;gare ou arrêt non accessible;;Guillerval;48.37428478563944, 2.0597027321607784
stop_point:IDFM:monomodalStopPlace:47603;1;gare ou arrêt non accessible;;Herblay;48.990136140429954, 2.1622316587721904
stop_point:IDFM:monomodalStopPlace:43082;4;train accessible sur demande auprès d'un agent en station;Lignes J et L accessibles sur réservation préalable auprès du service Accès Plus Transilien. Ligne C non accessible.;Houilles - Carrières-sur-Seine;48.92034757911033, 2.1851757042018707
stop_point:IDFM:monomodalStopPlace:43083;1;gare ou arrêt non accessible;;Igny;48.74084886110891, 2.230807643224045
stop_point:IDFM:monomodalStopPlace:462357;3;train accessible sur réservation préalable auprès du service AssistenGare;;Issy Val de Seine;48.83050964570215, 2.2640113460455353
stop_point:IDFM:monomodalStopPlace:411418;1;gare ou arrêt non accessible;;La Borne Blanche;49.1261949449139, 2.5069908684194053
stop_point:IDFM:monomodalStopPlace:43142;1;gare ou arrêt non accessible;;La Ferté-Alais;48.4855007310595, 2.352260197381972
stop_point:IDFM:monomodalStopPlace:43143;1;gare ou arrêt non accessible;;La Frette - Montigny;48.97988373233732, 2.180341866372171
stop_point:IDFM:monomodalStopPlace:43144;1;gare ou arrêt non accessible;;La Grande-Paroisse;48.37863280606578, 2.896902458012003
