Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
71;Métro;CHATEAU DE VINCENNES;5426141;1;;;;;Vincennes;
81;Métro;RICHELIEU-DROUOT;5101192;8;9;;;;Paris;9
106;Métro;ROBESPIERRE;4421143;9;;;;;Montreuil;
107;Métro;JULES JOFFRIN;4409922;12;;;;;Paris;18
142;Métro;ALEXANDRE DUMAS;3666961;2;;;;;Paris;11
224;Métro;PORTE D'ITALIE;2360419;7;;;;;Paris;13
247;Métro;LOUVRE;2050455;1;;;;;Paris;1
268;Métro;FILLES DU CALVAIRE;1749843;8;;;;;Paris;3
39;Métro;MADELEINE;6940577;8;12;14;;;Paris;8
51;Métro;JAURES;6475842;2;5;7bis;;;Paris;19
66;Métro;COUR SAINT-EMILION;5781997;14;;;;;Paris;12
134;Métro;VAUGIRARD;3740275;12;;;;;Paris;15
237;Métro;BEL AIR;2176466;6;;;;;Paris;12
56;RER;LE GUICHET;885211;B;;;;;Orsay;
7;RER;MASSY-PALAISEAU;8594667;B;;;;;Massy;
58;RER;LOZERE;784100;B;;;;;Palaiseau;
269;Métro;SAINT-FRANCOIS-XAVIER;1743488;13;;;;;Paris;7
280;Métro;SULLY-MORLAND;1472158;7;;;;;Paris;4
2;RER;GARE DE LYON-RER;36576706;A;;;;;Paris;12
14;RER;AUBER;6169061;A;;;;;Paris;9
43;RER;LE PARC DE SAINT-MAUR;2068180;A;;;;;Saint-Maur des Fossés;
75;Métro;SEVRES-BABYLONE;5237966;10;12;;;;Paris;7
111;Métro;DENFERT-ROCHEREAU;4277194;4;6;;;;Paris;14
163;Métro;SAINT-PLACIDE;3251968;4;;;;;Paris;6
209;Métro;PARMENTIER;2570537;3;;;;;Paris;11
212;Métro;VOLONTAIRES;2442576;12;;;;;Paris;15
241;Métro;LA TOUR-MAUBOURG;2107616;8;;;;;Paris;7
270;Métro;LIEGE;1676715;13;;;;;Paris;8
289;Métro;SAINT-GEORGES;1229469;12;;;;;Paris;9
46;RER;BRY-SUR-MARNE;2030950;A;;;;;Bry-sur-Marne;
18;Métro;PALAIS-ROYAL;10060631;1;7;;;;Paris;1
19;Métro;STRASBOURG-SAINT-DENIS;9917647;4;8;9;;;Paris;2
96;Métro;PONT DE SEVRES;4707039;9;;;;;Boulogne Billancourt;
179;Métro;MAIRIE D'IVRY;3003702;7;;;;;Ivry;
16;Métro;BELLEVILLE;11464280;2;11;;;;Paris;10
21;Métro;PLACE CLICHY;9186051;2;13;;;;Paris;17
24;Métro;NATION;8939092;1;2;6;9;;Paris;12
49;Métro;PORTE DE VINCENNES;6604200;1;;;;;Paris;12
95;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4714927;1;13;;;;Paris;8
97;Métro;PORTE DE MONTREUIL;4671043;9;;;;;Paris;20
141;Métro;TERNES;3667504;2;;;;;Paris;17
235;Métro;SAINT-MARCEL;2205398;5;;;;;Paris;13
244;Métro;CORVISART;2074560;6;;;;;Paris;13
50;RER;LES BACONNETS;1670479;B;;;;;Antony;
116;Métro;JUSSIEU;4162809;7;10;;;;Paris;5
140;Métro;MARX DORMOY;3676216;12;;;;;Paris;18
165;Métro;CORENTIN CARIOU;3235983;7;;;;;Paris;19
208;Métro;VILLEJUIF-LEO LAGRANGE;2574945;7;;;;;Villejuif;
281;Métro;AVENUE EMILE ZOLA;1470809;10;;;;;Paris;15
285;Métro;KLEBER;1266145;6;;;;;Paris;16
290;Métro;QUAI DE LA RAPEE;1186493;5;;;;;Paris;12
302;Métro;PRE-SAINT-GERVAIS;353892;7bis;;;;;Paris;19
34;RER;LA CROIX DE BERNY;2987262;B;;;;;Antony;
40;RER;ORSAY-VILLE;2286955;B;;;;;Orsay;
