Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC149360;75004;2019-12-16;2019-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;9.13;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;130520;103482;"{""coordinates"": [[[2.3584960379852222, 48.85433125292626], [2.358524627153532, 48.854321160772805], [2.358498239768145, 48.85429255840041], [2.358467939336901, 48.85430150369209], [2.3584960379852222, 48.85433125292626]]], ""type"": ""Polygon""}";48.85431161383518, 2.358496563308432
EC143169;75015;2019-11-25;2019-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;224.69;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;124986;98918;"{""coordinates"": [[[2.298130063341984, 48.84908211778887], [2.2981032719273107, 48.84907330785116], [2.2980631915411305, 48.84902662513106], [2.2980238068605217, 48.84897949050022], [2.298019986138142, 48.84895578876465], [2.2980348491506137, 48.84892809825502], [2.2978458181049217, 48.849028536961946], [2.2978365472569955, 48.84905079573893], [2.2978931078031106, 48.84910349575073], [2.297961306980031, 48.849111637659206], [2.2980047675653656, 48.849112347745105], [2.298130063341984, 48.84908211778887]]], ""type"": ""Polygon""}";48.84904331680768, 2.2979730027487317
EC146035;75017;2019-11-28;2019-12-06;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;383.32;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;127442;100873;"{""coordinates"": [[[2.294098752608522, 48.87490785920361], [2.2940114530549858, 48.87488239931862], [2.2936613733853792, 48.87529642184102], [2.2937546183437187, 48.87532547753923], [2.294098752608522, 48.87490785920361]]], ""type"": ""Polygon""}";48.875105790329215, 2.2938792856422676
EC101353;75001;2019-03-08;2019-06-28;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;103.44;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;87566;67973;"{""coordinates"": [[[[2.342282086238916, 48.858686588879806], [2.3422816104232793, 48.85868735520918], [2.342282064691913, 48.85868829572845], [2.342282086238916, 48.858686588879806]]], [[[2.3422816104232793, 48.85868735520918], [2.342266092643995, 48.85865519458571], [2.342256711975541, 48.8586466045925], [2.342032790996393, 48.858685787720965], [2.3420682719221007, 48.85874517984405], [2.3422803248975037, 48.8586894247437], [2.3422816104232793, 48.85868735520918]]]], ""type"": ""MultiPolygon""}";48.85869275120488, 2.3421547092435926
EC6520;75012;2016-01-01;2022-01-25;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;1760.89;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;4037;3079;"{""coordinates"": [[[2.396792756027481, 48.84758871605577], [2.3967746698360664, 48.8475608653926], [2.3965348933555917, 48.84783721314832], [2.3968448096377397, 48.84808684210263], [2.397326519497697, 48.84802509889147], [2.3969705512440895, 48.84766941115203], [2.396811094637595, 48.8475922881168], [2.396792756027481, 48.84758871605577]]], ""type"": ""Polygon""}";48.847861582585196, 2.3968969115602876
EC6551;75014;2016-04-06;2019-10-23;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;1143.73;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;;4045;3087;"{""coordinates"": [[[2.3386114677970795, 48.83226899254615], [2.3373501717602156, 48.83261490132295], [2.3374027724896242, 48.83271494746882], [2.3386707562578724, 48.83235952110709], [2.3386114677970795, 48.83226899254615]]], ""type"": ""Polygon""}";48.8324916779746, 2.338001542227439
EC90885;75017;2019-01-07;2019-01-25;Opérateurs de réseau (gaz-électricité-RATP-etc);SNCF;77.39;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;79598;61469;"{""coordinates"": [[[2.2841998043328813, 48.87737836190485], [2.284172026723783, 48.8773902172991], [2.2841512684141545, 48.87741377191834], [2.28414933153397, 48.87743416098589], [2.2841523541425333, 48.87745530817589], [2.2841544276388848, 48.87746515576705], [2.284268756986831, 48.87754525476922], [2.284283480482523, 48.877548986026746], [2.284304018548307, 48.87754145812302], [2.2843118603789905, 48.877533490979076], [2.284313217550276, 48.87752511993429], [2.284197340552307, 48.877437089425136], [2.2841886497100026, 48.87742647290095], [2.284189342059199, 48.877416276716026], [2.284195582463336, 48.87740429253984], [2.2842023586507096, 48.877393404266186], [2.2842035544586134, 48.87738685432146], [2.2841998043328813, 48.87737836190485]]], ""type"": ""Polygon""}";48.87747418364885, 2.2842186694380646
EC117367;75015;2019-07-23;2019-09-05;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;33.22;Travaux sur réseau de transport public;EMPRISE_TROTTOIR;;101602;79949;"{""coordinates"": [[[2.2963273579817347, 48.837464132441404], [2.2963638788007406, 48.83744157877711], [2.2962749990053104, 48.83738242584164], [2.29624190318684, 48.837406707538726], [2.2963273579817347, 48.837464132441404]]], ""type"": ""Polygon""}";48.837423702346605, 2.2963022222397864
EC118632;75015;2019-06-05;2019-06-15;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;192.44;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;102590;80763;"{""coordinates"": [[[2.298136236072487, 48.84908488626347], [2.2981121930832207, 48.84907700350505], [2.2980726917904124, 48.84903852007659], [2.298023148041595, 48.8489772094486], [2.298029132849534, 48.84894263708922], [2.297906838334846, 48.84900612679484], [2.2978958119195383, 48.84900515103447], [2.2978764325266807, 48.849009590781236], [2.2978680427361042, 48.849017738336244], [2.2978713150008163, 48.84903096377987], [2.2978567095527405, 48.84903952993453], [2.2978510300016395, 48.849051336711376], [2.2978612258311677, 48.84906278067837], [2.2978917496059577, 48.849050664620954], [2.2979463187580658, 48.8490974324176], [2.297919916251447, 48.84911093880434], [2.297961313122451, 48.84911118171848], [2.297968144665549, 48.8491162312533], [2.2979777553130796, 48.84911993096281], [2.2980026731898513, 48.84911415666562], [2.298136236072487, 48.84908488626347]]], ""type"": ""Polygon""}";48.84904464317502, 2.2979876436502797
EC121160;75007;2019-07-08;2019-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;154.32;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;105036;82836;"{""coordinates"": [[[2.3052468464984313, 48.85401699670713], [2.3054215453968587, 48.85414096122936], [2.305507351476377, 48.85408833512732], [2.3053233945442653, 48.85396887132409], [2.3052468464984313, 48.85401699670713]]], ""type"": ""Polygon""}";48.85405480576134, 2.305376348605984
