Geo Point;Geo Shape;insee;emp2006;emp2007;emp2008;emp2009;emp2010;emp2011;emp2012;emp2013;emp2014;emp2015;objectid_1;objectid;emp1999;emp1990;emp1982;emp1975;emp2016;emp2017
48.287860181, 2.5305488168;"{""coordinates"": [[2.530548816798451, 48.28786018103564]], ""type"": ""MultiPoint""}";77003;60.837701;62.753654;64.756519;62.683908;60.481932;59.39;61.49;56.51710159;65.370323;60.33961941;23;23;60;70;80;75;62.84064346;60.08278254
48.6143359877, 2.80672187701;"{""coordinates"": [[2.806721877012404, 48.61433598772003]], ""type"": ""MultiPoint""}";77004;33.821728;34.04122;34.134639;36.341439;37.117505;37.72;37.31;34.65932241;37.608431;37.60035278;24;24;52;70;44;55;41.14033913;41.14424267
48.922738238, 2.70848232012;"{""coordinates"": [[2.708482320116412, 48.922738237964474]], ""type"": ""MultiPoint""}";77005;423.480199;413.594294;414.11184;420.118966;407.197242;401.69;428.57;435.07389635;492.531092;514.80032029;25;25;331;332;348;350;507.89446892;534.9392952
48.6199688824, 2.90344510404;"{""coordinates"": [[2.903445104040421, 48.6199688824022]], ""type"": ""MultiPoint""}";77010;122.684809;134.120213;127.532726;132.072416;135.514775;138.64;136.32;158.66716926;162.389187;157.5293295;30;30;167;172;96;140;154.12901701;152.49922076
48.2048714589, 2.6012209982;"{""coordinates"": [[2.601220998203206, 48.204871458862]], ""type"": ""MultiPoint""}";77011;67.35818;67.9022;71.479915;71.802448;84.62291;82.87;85.37;97.98949607;104.642053;99.80698767;31;31;64;99;96;120;95.90826665;104.56664482
48.7076151903, 3.24629019093;"{""coordinates"": [[3.246290190925468, 48.70761519031098]], ""type"": ""MultiPoint""}";77032;177.795507;184.155443;183.930752;183.837023;188.723285;161.89;162.4;168.08703714;170.288159;156.11570614;50;50;153;146;192;175;163.26086588;156.6537577
48.5232462501, 2.61437052786;"{""coordinates"": [[2.61437052786186, 48.52324625011973]], ""type"": ""MultiPoint""}";77038;61.372427;65.067028;64.76494;74.055748;98.544905;108.7;103.37;101.29272203;103.748246;90.96400788;56;56;82;62;56;40;76.02600913;72.94268676
48.5128599756, 2.56954750696;"{""coordinates"": [[2.569547506959205, 48.512859975557156]], ""type"": ""MultiPoint""}";77040;544.248003;526.157165;486.88618;474.519344;488.704191;528.6;559.56;572.14327835;605.330206;603.4096894;58;58;443;421;348;395;648.80018445;680.56146819
48.9267604673, 3.23712762712;"{""coordinates"": [[3.23712762712459, 48.92676046733812]], ""type"": ""MultiPoint""}";77057;25.543585;26.709764;30.310741;32.144917;33.032765;30.95;36.16;36.18118644;34.050287;34.98199827;75;75;30;66;112;80;34.20372258;28.05078542
48.8460878809, 2.67907246544;"{""coordinates"": [[2.67907246544263, 48.84608788085801]], ""type"": ""MultiPoint""}";77059;209.989231;237.673732;286.762752;322.147779;373.254951;423.12;512.5;543.66991894;583.278629;612.01883402;77;77;69;41;36;30;690.09683918;721.77414931
