station_id,NOM_USUEL,LAT,LON,ALTI_x,date,PMERM,QPMERM,PMERMIN,QPMERMIN,INST,QINST,GLOT,QGLOT,SIGMA,QSIGMA,UN,QUN,HUN,QHUN,UX,QUX,HUX,QHUX,UM,QUM,DHUMI40,QDHUMI40,DHUMI80,QDHUMI80,TSVM,QTSVM,ETPMON,QETPMON,ETPGRILLE,QETPGRILLE,NEIGETOTX,QNEIGETOTX,NEIGETOT06,QNEIGETOT06,NEIG,QNEIG,BROU,QBROU,GELEE,QGELEE,FUMEE,QFUMEE,BRUME,QBRUME,ALTI_y,RR,QRR,TN,QTN,HTN,QHTN,TX,QTX,HTX,QHTX,TM,QTM,TNTXM,QTNTXM,TAMPLI,QTAMPLI,TNSOL,QTNSOL,TN50,QTN50,DG,QDG,FFM,QFFM,FXY,QFXY,DXY,QDXY,HXY,QHXY,FXI,QFXI,DXI,QDXI,HXI,QHXI,FXI3S,QFXI3S,QDXI3S,HXI3S,QHXI3S,CODE_STIF_TRNS_x,CODE_STIF_RES_x,LIBELLE_ARRET_x,lda,CATEGORIE_TITRE_x,NB_VALD_x,Rang,Réseau,station_name,traffic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,Year,JOUR,CODE_STIF_TRNS_y,CODE_STIF_RES_y,CODE_STIF_ARRET_x,LIBELLE_ARRET_y,ID_REFA_LDA_x,CATEGORIE_TITRE_y,NB_VALD_y,CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET_y,LIBELLE_ARRET,ID_REFA_LDA_y,CAT_JOUR,TRNC_HORR_60,pourc_validations,Code postal arrondissement - Commune,Référence Chantier,start_date,end_date,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,disruption_category,disruption_effect,reseau,mode,probleme
75106001,LUXEMBOURG,48.844667,2.333833,46.0,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,9.0,,,,,,,,,,,,,,,46,4.6,1.0,11.7,1.0,1450.0,9.0,15.3,1.0,2304.0,9.0,13.6,1.0,13.5,1.0,3.6,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75106,,,,,,,,,,,,,,,,,,0
75107005,TOUR EIFFEL,48.858333,2.2945,330.0,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,,,,,,,,,,,,,,,330,,,9.7,1.0,1448.0,9.0,14.7,1.0,2123.0,9.0,12.2,1.0,12.2,1.0,5.0,1.0,,,,,0.0,9.0,11.5,1.0,16.3,1.0,200.0,1.0,51.0,9.0,24.7,1.0,210.0,9.0,2004.0,9.0,23.2,9.0,,2206.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75107,,,,,,,,,,,,,,,,,,0
75110001,LARIBOISIERE,48.882833,2.352,55.0,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,9.0,,,,,,,,,,,,,,,55,4.0,1.0,12.1,1.0,1431.0,9.0,15.6,1.0,2306.0,9.0,14.0,1.0,13.9,1.0,3.5,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75110,,,,,,,,,,,,,,,,,,0
75112004,ST-ANTOINE,48.848167,2.380833,,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75112,,,,,,,,,,,,,,,,,,0
75114001,PARIS-MONTSOURIS,48.821667,2.337833,75.0,2023-01-01,1014.9,1.0,1012.2,1.0,0.0,9.0,73.0,9.0,0.0,9.0,53.0,1.0,1.0,9.0,92.0,1.0,1514.0,9.0,77.0,1.0,0.0,9.0,482.0,9.0,11.4,9.0,1.5,9.0,2.1,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,,,0.0,9.0,0.0,9.0,75,5.2,1.0,11.4,1.0,1613.0,9.0,14.5,1.0,2312.0,9.0,13.0,1.0,13.0,1.0,3.1,1.0,8.9,9.0,10.1,9.0,0.0,9.0,4.1,1.0,7.1,1.0,220.0,1.0,55.0,9.0,15.2,1.0,220.0,1.0,37.0,9.0,13.5,1.0,,58.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75114007,PARIS-MONTSOURIS-DOUBLE,48.821667,2.337833,75.0,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,9.0,,,,,,,,,,,,,,,75,,,11.3,1.0,1503.0,9.0,14.4,1.0,2310.0,9.0,13.0,1.0,12.9,1.0,3.1,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75114,,,,,,,,,,,,,,,,,,0
75116008,LONGCHAMP,48.854833,2.233667,27.0,2023-01-01,,,,,0.0,9.0,81.0,9.0,0.0,9.0,53.0,1.0,1.0,9.0,93.0,1.0,1943.0,9.0,75.0,1.0,0.0,9.0,435.0,9.0,11.4,9.0,1.6,9.0,2.0,9.0,,,,,,,,,,,,,,,27,4.0,1.0,10.7,1.0,1800.0,9.0,16.1,1.0,2128.0,9.0,13.4,1.0,13.4,1.0,5.4,1.0,8.6,9.0,,,0.0,9.0,3.4,1.0,6.2,1.0,200.0,1.0,22.0,9.0,13.1,1.0,200.0,1.0,147.0,9.0,11.7,9.0,,147.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75116,,,,,,,,,,,,,,,,,,0
75119001,BUTTES CHAUMONT,48.876833,2.380833,,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,5.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75119,,,,,,,,,,,,,,,,,,0
75106001,LUXEMBOURG,48.844667,2.333833,46.0,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,9.0,,,,,,,,,,,,,,,46,1.4,1.0,10.0,1.0,1755.0,9.0,12.9,1.0,1322.0,9.0,10.7,1.0,11.5,1.0,2.9,1.0,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75106,,,,,,,,,,,,,,,,,,0
75107005,TOUR EIFFEL,48.858333,2.2945,330.0,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,9.0,,,,,,,,,,,,,,,330,,,8.3,1.0,1044.0,9.0,9.6,1.0,1457.0,9.0,9.2,1.0,9.0,1.0,1.3,1.0,,,,,0.0,9.0,8.5,1.0,13.1,1.0,240.0,1.0,329.0,9.0,20.1,1.0,230.0,1.0,2.0,9.0,19.0,9.0,,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75107,,,,,,,,,,,,,,,,,,0
