Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
11;Métro;CHATELET;12829472;1;4;7;11;14;Paris;1
10;Métro;BASTILLE;13239442;1;5;8;;;Paris;12
123;Métro;ARTS ET METIERS;4026218;3;11;;;;Paris;3
151;Métro;POISSONNIERE;3529368;7;;;;;Paris;10
108;Métro;LE KREMLIN-BICETRE;4368647;7;;;;;Kremlin-Bicêtre;
60;Métro;COUR SAINT-EMILION;6022116;14;;;;;Paris;12
106;Métro;JULES JOFFRIN;4416975;12;;;;;Paris;18
65;Métro;GALLIENI;5863396;3;;;;;Bagnolet;
182;Métro;NOTRE-DAME-DE-LORETTE;2989683;12;;;;;Paris;9
204;Métro;MALESHERBES;2633146;3;;;;;Paris;17
175;Métro;SIMPLON;3083837;4;;;;;Paris;18
239;Métro;MAUBERT-MUTUALITE;2204329;10;;;;;Paris;5
228;Métro;PORTE D'ITALIE;2347785;7;;;;;Paris;13
249;Métro;SOLFERINO;2058280;12;;;;;Paris;7
222;Métro;CRETEIL-L'ECHAT;2397399;8;;;;;Créteil;
293;Métro;BOTZARIS;964240;7bis;;;;;Paris;19
18;RER;NEUILLY-PLAISANCE;5551528;A;;;;;Neuilly-sur-Seine;
14;RER;ANTONY;6331718;B;;;;;Antony;
271;Métro;SAINT-SEBASTIEN-FROISSART;1661453;8;;;;;Paris;3
291;Métro;ASSEMBLEE NATIONALE;1030686;12;;;;;Paris;7
258;Métro;MABILLON;1853355;10;;;;;Paris;6
270;Métro;MONCEAU;1698260;2;;;;;Paris;17
60;RER;BURES-SUR-YVETTE;742330;B;;;;;Bures sur Yvette;
47;RER;LE VESINET-LE PECQ;2135170;A;;;;;Le Vésinet;
2;Métro;SAINT-LAZARE;47137968;3;9;12;13;14;Paris;8
71;Métro;CONVENTION;5460496;12;;;;;Paris;15
73;Métro;SEVRES-BABYLONE;5321593;10;12;;;;Paris;7
75;Métro;RICHELIEU-DROUOT;5307462;8;9;;;;Paris;9
223;Métro;LOUIS BLANC;2393010;7;7bis;;;;Paris;10
244;Métro;NOTRE-DAME-DES-CHAMPS;2150136;12;;;;;Paris;6
45;RER;LE PARC DE SAINT-MAUR;2206034;A;;;;;Saint-Maur des Fossés;
66;RER;LA HACQUINIERE;467914;B;;;;;Bures sur Yvette;
37;RER;NOGENT-SUR-MARNE;2693622;A;;;;;Nogent-sur-Marne;
41;RER;SUCY-BONNEUIL;2380266;A;;;;;Sucy-en-Brie;
8;RER;CHARLES DE GAULLE-ETOILE-RER;8640591;A;;;;;Paris;17
295;Métro;SAINT-FARGEAU;715468;3bis;;;;;Paris;8
140;Métro;ALEXANDRE DUMAS;3676620;2;;;;;Paris;11
125;Métro;BLANCHE;3997296;2;;;;;Paris;9
122;Métro;OURCQ;4037796;5;;;;;Paris;19
12;Métro;HOTEL DE VILLE;11777638;1;11;;;;Paris;4
7;Métro;BIBLIOTHEQUE;18129727;14;;;;;Paris;13
19;Métro;ESPLANADE DE LA DEFENSE;10148031;1;;;;;Puteaux;
104;Métro;JUSSIEU;4476394;7;10;;;;Paris;5
128;Métro;PASSY;3942219;6;;;;;Paris;16
301;Métro;PRE-SAINT-GERVAIS;367131;7bis;;;;;Paris;19
283;Métro;CHEMIN VERT;1415141;8;;;;;Paris;11
284;Métro;PICPUS;1352984;6;;;;;Paris;12
9;RER;NOISY-LE-GRAND-MONT D'EST;8113352;A;;;;;Noisy-le-Grand;
6;RER;VAL DE FONTENAY;14444715;A;;;;;Fontenay-sous-Bois;
163;Métro;ETIENNE MARCEL;3297216;4;;;;;Paris;1
147;Métro;VAUGIRARD;3597913;12;;;;;Paris;15
144;Métro;TERNES;3613687;2;;;;;Paris;17
142;Métro;LOUISE MICHEL;3626552;3;;;;;Levallois-Perret;
164;Métro;BILLANCOURT;3248451;9;;;;;Boulogne Billancourt;
281;Métro;AVENUE EMILE ZOLA;1471634;10;;;;;Paris;15
274;Métro;MOUTON-DUVERNET;1589981;4;;;;;Paris;14
264;Métro;CHATEAU-LANDON;1756811;7;;;;;Paris;10
273;Métro;PONT MARIE;1620243;7;;;;;Paris;4
263;Métro;MAISONS-ALFORT-STADE;1777237;8;;;;;Maisons -Alfort;
262;Métro;TRINITE-D'ESTIENNE D'ORVES;1802492;12;;;;;Paris;9
202;Métro;PORTE DOREE;2715367;8;;;;;Paris;12
221;Métro;RIQUET;2401771;7;;;;;Paris;19
171;Métro;MAIRIE D'IVRY;3145774;7;;;;;Ivry;
54;RER;PALAISEAU;1067028;B;;;;;Palaiseau;
33;Métro;HAVRE-CAUMARTIN;7492542;3;9;;;;Paris;9
87;Métro;VOLTAIRE;4963540;9;;;;;Paris;11
30;RER;SAINT-MAUR-CRETEIL;3594971;A;;;;;Saint-Maur des Fossés;
22;Métro;PLACE CLICHY;9019721;2;13;;;;Paris;17
23;Métro;TROCADERO;8879431;6;9;;;;Paris;16
95;Métro;COLONEL FABIEN;4752228;2;;;;;Paris;10
56;Métro;GEORGE V;6184000;1;;;;;Paris;8
102;Métro;REAUMUR-SEBASTOPOL;4523360;3;4;;;;Paris;3
173;Métro;RUE DE LA POMPE;3121397;9;;;;;Paris;16
201;Métro;DUGOMMIER;2764845;6;;;;;Paris;12
183;Métro;COURONNES;2977750;2;;;;;Paris;11
59;RER;GIF-SUR-YVETTE;794488;B;;;;;Gif sur Yvette;
50;RER;LES BACONNETS;1842189;B;;;;;Antony;
256;Métro;AVRON;1960775;2;;;;;Paris;11
240;Métro;CITE;2191363;4;;;;;Paris;4
236;Métro;MAISONS-ALFORT-LES JUILLIOTTES;2269171;8;;;;;Maisons -Alfort;
