Geo Point;Geo Shape;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode_;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
49.04516945934257,2.322917846227108;"{""coordinates"": [2.322917846227108, 49.04516945934257], ""type"": ""Point""}";95;Bouffémont-Moisselles;;;66795;Bouffémont - Moisselles;47517;Bouffémont - Moisselles;A01849;C01737;TRAIN H;H;TRAIN;0;0;0;0;0;SNCF;1;0;650500.3654;6883022.3168;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Bouffémont-Moisselles
48.53289010230884,2.290082513840396;"{""coordinates"": [2.290082513840396, 48.53289010230884], ""type"": ""Point""}";101;Bouray;;;59830;Bouray;47905;Bouray;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;1;0;647587.8337;6826086.0185;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Bouray
48.7510232741848,2.215860857351649;"{""coordinates"": [2.215860857351649, 48.7510232741848], ""type"": ""Point""}";73;Bièvres;;;63404;Bièvres;43091;Bièvres;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;1;0;642349.1489;6850387.4886;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Bièvres
48.529746917640566,2.572073662735742;"{""coordinates"": [2.572073662735742, 48.529746917640566], ""type"": ""Point""}";85;Boissise-le-Roi;;;61943;Boissise-le-Roi;45763;Boissise-le-Roi;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;1;0;668404.6619;6825586.6129;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Boissise-le-Roi
48.725535303926115,2.419565024387933;"{""coordinates"": [2.419565024387933, 48.725535303926115], ""type"": ""Point""}";3;Ablon;;;69554;Ablon;46387;Ablon;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;1;0;657304.576;6847424.3178;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Ablon
48.932196005027805,2.495513142584313;"{""coordinates"": [2.495513142584313, 48.932196005027805], ""type"": ""Point""}";37;Aulnay-sous-Bois;;;72646;Aulnay-sous-Bois;43071;Aulnay-sous-Bois;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;1;663037.8693;6870364.5512;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aulnay-sous-Bois
48.79333629530144,2.3222016336701206;"{""coordinates"": [2.322201633670121, 48.79333629530144], ""type"": ""Point""}";45;Bagneux;;;70210;Bagneux;44493;Bagneux;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;650207.6266;6855019.5845;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bagneux
48.81894780000307,2.2298080037295134;"{""coordinates"": [2.229808003729513, 48.81894780000307], ""type"": ""Point""}";62;Bellevue;;;69528;Bellevue;43088;Bellevue;A01847;C01736;TRAIN N;N;TRAIN;0;0;0;0;0;SNCF;1;0;643448.1911;6857929.4251;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8;Bellevue
48.56611781980045,2.492713002881577;"{""coordinates"": [2.492713002881577, 48.56611781980045], ""type"": ""Point""}";214;Le Coudray-Montceaux;;;59953;Le Coudray-Montceaux;45824;Le Coudray-Montceaux;A01842;C01728;RER D;D;RER;0;0;0;0;0;SNCF;1;0;662571.2287;6829664.4286;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Le Coudray-Montceaux
49.032972045837816,2.3368296898368266;"{""coordinates"": [2.336829689836827, 49.032972045837816], ""type"": ""Point""}";239;Domont;;;66654;Domont;43120;Domont;A01849;C01737;TRAIN H;H;TRAIN;0;0;0;0;0;SNCF;1;0;651506.0056;6881657.2116;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Domont
