Réseau,Station,Trafic,Ville,Arrondissement pour Paris,Year,ArRGeopoint
Métro,nation,9541406,Paris,12.0,2013,"48.84845279706631, 2.3957988351125254"
Métro,nation,9541406,Paris,12.0,2013,"48.848084289960305, 2.3958439887237373"
Métro,nation,9541406,Paris,12.0,2013,"48.848453436965976, 2.395925559927623"
Métro,nation,9541406,Paris,12.0,2013,"48.848885218403474, 2.3959437210498136"
Métro,nation,9541406,Paris,12.0,2013,"48.84817470172562, 2.3959383298941117"
Métro,nation,9541406,Paris,12.0,2013,"48.84822886619487, 2.395978583234571"
Métro,nation,9541406,Paris,12.0,2013,"48.84829598356938, 2.395912395305276"
Métro,nation,9541406,Paris,12.0,2013,"48.847890647679165, 2.39578831902579"
Métro,nation,9541406,Paris,12.0,2013,"48.8481696375843, 2.395825965451431"
Métro,nation,9541406,Paris,12.0,2013,"48.84789550544393, 2.395859804327908"
Métro,nation,9541406,Paris,12.0,2013,"48.84897953766083, 2.395921369214201"
Métro,nation,9541406,Paris,12.0,2013,"48.84774153362843, 2.3974286868102963"
Métro,saint-michel,8797595,Paris,5.0,2013,"48.85418462049749, 2.3434392164564892"
Métro,saint-michel,8797595,Paris,5.0,2013,"48.85359288193881, 2.343773757483991"
Métro,saint-michel,8797595,Paris,5.0,2013,"48.44463444148466, 2.1705882264804592"
Métro,saint-michel,8797595,Paris,5.0,2013,"48.85359407755442, 2.3439917990332875"
Métro,saint-michel,8797595,Paris,5.0,2013,"48.62520128052624, 2.600484406645633"
Métro,saint-michel,8797595,Paris,5.0,2013,"48.853584935201184, 2.343964657062377"
Métro,saint-michel,8797595,Paris,5.0,2013,"48.44467734127567, 2.1702900493538704"
Métro,grands boulevards,7092775,Paris,9.0,2013,"48.87066687002618, 2.3429315384704954"
Métro,grands boulevards,7092775,Paris,9.0,2013,"48.87155880121018, 2.3432202183423976"
Métro,grands boulevards,7092775,Paris,9.0,2013,"48.87153257080463, 2.343356881405787"
Métro,grands boulevards,7092775,Paris,9.0,2013,"48.87141461756469, 2.3431675035583868"
Métro,grands boulevards,7092775,Paris,9.0,2013,"48.871466778430445, 2.3428396486365446"
Métro,grands boulevards,7092775,Paris,9.0,2013,"48.871601969437734, 2.3428924760133962"
Métro,grands boulevards,7092775,Paris,9.0,2013,"48.87122178495465, 2.344083356256421"
Métro,pont de neuilly,6902931,Neuilly Sur Seine,,2013,"48.88430358215502, 2.260162355747766"
Métro,pont de neuilly,6902931,Neuilly Sur Seine,,2013,"48.88549855043161, 2.258522572948157"
Métro,pont de neuilly,6902931,Neuilly Sur Seine,,2013,"48.8854893889611, 2.258495429369125"
Métro,pont de neuilly,6902931,Neuilly Sur Seine,,2013,"48.8851528436698, 2.2607912251862743"
Métro,mairie de clichy,6987958,Clichy,,2013,"48.903448804430994, 2.305726300569584"
Métro,mairie de clichy,6987958,Clichy,,2013,"48.90254431546431, 2.304060470490796"
Métro,mairie de clichy,6987958,Clichy,,2013,"48.903275901431975, 2.3061514962804264"
Métro,mairie de clichy,6987958,Clichy,,2013,"48.903498974613136, 2.3058484063578852"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.761461673062236, 2.18105082375327"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.891517202875406, 2.2854957903291147"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.776418523435325, 2.2741300478972466"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.89220661760041, 2.2849816963403193"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.66142826712557, 2.5463565916239848"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.946663466467, 2.6095928617395905"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.76151837432327, 2.1801384151500462"
Métro,anatole france,3866326,Levallois-Perret,,2013,"49.01352295354694, 2.194684777726253"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.936190772811266, 2.4950257366292377"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.93555422145467, 2.4933529881253396"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.89223258538292, 2.2848122193525104"
Métro,anatole france,3866326,Levallois-Perret,,2013,"48.77643766768126, 2.274320300530046"
Métro,mairie de saint-ouen,3716189,Saint Ouen,,2013,"48.912021223811784, 2.33378654272862"
Métro,mairie de saint-ouen,3716189,Saint Ouen,,2013,"48.91164217551146, 2.3335458072132695"
Métro,mairie de saint-ouen,3716189,Saint Ouen,,2013,"48.911958864718954, 2.3338930806853564"
Métro,mairie de saint-ouen,3716189,Saint Ouen,,2013,"48.911704515335686, 2.333435858789529"
Métro,cadet,3612956,Paris,9.0,2013,"48.87656139088631, 2.343634343149908"
Métro,cadet,3612956,Paris,9.0,2013,"48.87608664408618, 2.3439811866400997"
Métro,cadet,3612956,Paris,9.0,2013,"48.8760483801177, 2.3443838837796562"
Métro,cadet,3612956,Paris,9.0,2013,"48.875587782119474, 2.3432103153547374"
Métro,cadet,3612956,Paris,9.0,2013,"48.87596328506194, 2.3444463097022736"
Métro,cadet,3612956,Paris,9.0,2013,"48.875655382986594, 2.342418672789673"
Métro,cambronne,3097164,Paris,15.0,2013,"48.84754311217983, 2.3029417283376117"
Métro,cambronne,3097164,Paris,15.0,2013,"48.847175368684766, 2.30157032821345"
Métro,cambronne,3097164,Paris,15.0,2013,"48.84749339700068, 2.3028987869158217"
Métro,cambronne,3097164,Paris,15.0,2013,"48.84771924156671, 2.3007590422242994"
Métro,cambronne,3097164,Paris,15.0,2013,"48.84781816377281, 2.300757714893124"
Métro,cambronne,3097164,Paris,15.0,2013,"48.848410024069935, 2.300463601073347"
Métro,maraichers,2903399,Paris,20.0,2013,"48.852770845779574, 2.4068149003596435"
Métro,maraichers,2903399,Paris,20.0,2013,"48.85220043417051, 2.4060445927471465"
Métro,maraichers,2903399,Paris,20.0,2013,"48.85286104586155, 2.406868386575187"
Métro,maraichers,2903399,Paris,20.0,2013,"48.85313604297779, 2.406102069683262"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.896538185858326, 2.359081862109075"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.898503892557834, 2.360053401692384"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89844103404918, 2.3583900631505386"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.898151359693344, 2.359716730721608"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89793927623644, 2.3587372501496553"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89794943711353, 2.3589553670346644"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89834248109988, 2.3584594789223665"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89849462409886, 2.3583212013219272"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89774581862859, 2.3595580375364493"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.897410641634764, 2.3591038573001977"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89747487406966, 2.3593431306132344"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89750901984305, 2.3590017101185863"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89876292750093, 2.3597228493217544"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.898114222481574, 2.359498944752803"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.89740242265683, 2.359248542310361"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.897458274913426, 2.3596024948473673"
Métro,porte de la chapelle,2905144,Paris,18.0,2013,"48.8968814366151, 2.3593640731992553"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.831919974040794, 2.2378911010380254"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83190046016309, 2.2376516209816386"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83228510681211, 2.2387358462036877"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83183051283575, 2.237965973200589"
Métro,billancourt,2838189,Boulogne Billancourt,,2013,"48.83179428049753, 2.237925633845432"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.8196098517099, 2.3594554533818"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.81950069272502, 2.3592252610653897"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.819034286073844, 2.359462523882543"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.819106596544934, 2.3595297331071694"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.819064255526236, 2.360020554838151"
Métro,porte d'italie,2486263,Paris,13.0,2013,"48.81898404540706, 2.3601577339943094"
Métro,lourmel,2483440,Paris,15.0,2013,"48.838933513300134, 2.2827150731334624"
Métro,lourmel,2483440,Paris,15.0,2013,"48.83878553900577, 2.282035871598574"
Métro,lourmel,2483440,Paris,15.0,2013,"48.838660863646226, 2.2822419598550767"
Métro,varenne,1538258,Paris,7.0,2013,"48.85662420263328, 2.3149776470363417"
Métro,varenne,1538258,Paris,7.0,2013,"48.85662498273289, 2.3151139305096566"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84272854474405, 2.2605072822340513"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84303506215241, 2.260625566190178"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84258027626282, 2.2598008451443454"
Métro,exelmans,2060188,Paris,16.0,2013,"48.84262446524624, 2.2596748602119496"
Métro,exelmans,2060188,Paris,16.0,2013,"48.78000710450438, 2.199486539236909"
