Code INSEE;Commune;Population municipale;Année
91105;Breuillet;8419;2014
91121;Buno-Bonnevaux;471;2014
91122;Bures-sur-Yvette;9708;2014
91175;Corbreuse;1768;2014
91330;Lardy;5524;2014
91508;Puiselet-le-Marais;285;2014
91519;Richarville;401;2014
91635;Vauhallan;1941;2014
91639;Vayres-sur-Essonne;897;2014
92072;Sèvres;23206;2014
93073;Tremblay-en-France;34704;2014
93077;Villemomble;29500;2014
94001;Ablon-sur-Seine;5449;2014
95024;Arthies;284;2014
95028;Attainville;1788;2014
95088;Bonneuil-en-France;930;2014
95102;Bréançon;371;2014
95176;Cormeilles-en-Parisis;23818;2014
95229;Ézanville;9561;2014
95256;Frépillon;3163;2014
95446;Nesles-la-Vallée;1780;2014
95500;Pontoise;29766;2014
91022;ARRANCOURT;136;2006
91115;BRUYERES-LE-CHATEL;3097;2006
91131;CHALOU-MOULINEUX;396;2006
91195;DANNEMOIS;812;2006
91198;D'HUISON-LONGUEVILLE;1292;2006
91207;EGLY;5212;2006
91312;IGNY;10184;2006
91347;LONGPONT-SUR-ORGE;6580;2006
91479;PARAY-VIEILLE-POSTE;7198;2006
91547;SAINT-ESCOBILLE;467;2006
91602;SOUZY-LA-BRICHE;384;2006
92014;BOURG-LA-REINE;19521;2006
92032;FONTENAY-AUX-ROSES;23964;2006
92072;SEVRES;23726;2006
93007;LE BLANC-MESNIL;51109;2006
93032;GAGNY;37729;2006
94017;CHAMPIGNY-SUR-MARNE;74863;2006
95074;BOISEMONT;722;2006
95271;GENICOURT;520;2006
95351;LOUVRES;8896;2006
95353;MAFFLIERS;1614;2006
95371;MARLY-LA-VILLE;5567;2006
95658;VIGNY;1083;2006
75104;PARIS 4E  ARRONDISSEMENT;29138;2006
77016;BAGNEAUX-SUR-LOING;1564;2006
77068;CESSOY-EN-MONTOIS;212;2006
77097;CHARTRONGES;267;2006
77110;CHENOU;284;2006
77132;COUPVRAY;2791;2006
77158;DIANT;206;2006
77176;FAREMOUTIERS;2386;2006
77188;FONTAINE-LE-PORT;913;2006
77203;GERMIGNY-L'EVEQUE;1280;2006
77239;JOUY-LE-CHATEL;1415;2006
77258;LOGNES;14614;2006
77267;LA MADELEINE-SUR-LOING;376;2006
77270;MAISONCELLES-EN-BRIE;799;2006
77301;MONTCEAUX-LES-PROVINS;335;2006
77310;MONTIGNY-LE-GUESDIER;273;2006
77316;MORET-SUR-LOING;4478;2006
77407;SAINT-FARGEAU-PONTHIERRY;11932;2006
77492;VERDELOT;728;2006
77501;VILLECERF;801;2006
77504;VILLEMARECHAL;841;2006
77516;VILLE-SAINT-JACQUES;708;2006
78220;LES ESSARTS-LE-ROI;6123;2006
78265;GARANCIERES;2331;2006
78337;LIMETZ-VILLEZ;1894;2006
78349;LONGVILLIERS;485;2006
78383;MAUREPAS;18705;2006
78550;SAINT-GERMAIN-DE-LA-GRANGE;1795;2006
75110;PARIS-10E__ARRONDISSEMENT;94046;1975
75114;PARIS-14E__ARRONDISSEMENT;149137;1975
75116;PARIS-16E__ARRONDISSEMENT;193590;1975
77001;ACHERES-LA-FORET;647;1975
77002;AMILLIS;555;1975
77060;BUTHIERS;529;1975
77079;CHAMPAGNE-SUR-SEINE;5543;1975
77177;FAVIERES;686;1975
77192;FONTENAY-TRESIGNY;2812;1975
77205;GESVRES-LE-CHAPITRE;54;1975
77233;IVERNY;245;1975
77241;JUILLY;802;1975
77247;LESCHEROLLES;264;1975
77252;LIMOGES-FOURCHES;214;1975
77266;MACHAULT;305;1975
77297;MONDREVILLE;287;1975
77370;POLIGNY;654;1975
77374;PONTCARRE;1166;1975
77390;ROISSY;10881;1975
77406;SAINT-DENIS-LES-REBAIS;409;1975
77453;SIVRY-COURTRY;622;1975
77479;VAIRES-SUR-MARNE;10019;1975
77510;VILLENEUVE-SAINT-DENIS;380;1975
77531;VOULX;1247;1975
78053;BEHOUST;264;1975
78233;FEUCHEROLLES;2052;1975
78302;LA HAUTEVILLE;137;1975
78354;MAGNANVILLE;3225;1975
78410;MOISSON;462;1975
78466;ORGEVAL;3236;1975
91182;COURCOURONNES;4309;1975
91338;LIMOURS;4201;1975
92023;CLAMART;52952;1975
94070;SANTENY;2242;1975
95054;LE BELLAY-EN-VEXIN;123;1975
95205;ECOUEN;4494;1975
95211;ENNERY;1935;1975
95509;PUISEUX-EN-FRANCE;2966;1975
95572;SAINT-OUEN-L'AUMONE;15948;1975
91232;La Ferté-Alais;3982;2012
91274;Gometz-la-Ville;1397;2012
91347;Longpont-sur-Orge;6585;2012
91434;Morsang-sur-Orge;21428;2012
91473;Orveau;192;2012
