Département;Département commune;Libellé de commune;Arrondissement;Canton ville;Zone d'emploi;Unité urbaine;Population 2010;Taxi;Aéroport;Aéroport nombre de passagers;Gare avec train TAGV (train à grande vitesse);Gare sous convention avec l’État;Gare sous convention avec les conseils régionaux ou les STIF;Agence de voyage;Hôtel homologué;Hôtel homologué - nombre de chambres;Camping homologué;Camping homologué - nombre d'emplacements;Information Touristique;geo_point_2d;geo_shape
77;77214;['Gressy'];771;7737;56;77000;912;4;0;0;0;0;0;0;1;86;0;0;0;48.96500997292701, 2.664403767243342;"{""coordinates"": [[[2.653194165163208, 48.955619189511786], [2.650281677509938, 48.96433340148263], [2.6608253271660782, 48.97475885201799], [2.672180115173003, 48.976391051931046], [2.676856892795135, 48.966808921559874], [2.674584928304008, 48.956659330682626], [2.653194165163208, 48.955619189511786]]], ""type"": ""Polygon""}"
94;94054;['Orly'];941;9420;1118;851;21395;34;1;27099908;0;0;2;6;4;621;0;0;2;48.74293200731665, 2.394682969987736;"{""coordinates"": [[[2.370437363052879, 48.72786483659373], [2.3693474179284753, 48.74607283234519], [2.391721493635619, 48.751792383343265], [2.4060932694237, 48.75107322983725], [2.427516640978466, 48.75100697004414], [2.43681531988633, 48.74515092792044], [2.40717699760607, 48.741877408183655], [2.399447150966638, 48.73762040316854], [2.38943627724155, 48.73667917335101], [2.380199999484634, 48.728932311548164], [2.370437363052879, 48.72786483659373]]], ""type"": ""Polygon""}"
95;95212;['Épiais-lès-Louvres'];952;9513;56;851;88;0;0;0;0;0;0;0;1;15;0;0;0;49.03019328702893, 2.548840908547871;"{""coordinates"": [[[2.56933989297066, 49.03959499239004], [2.562971649522693, 49.02759481999725], [2.544746970760758, 49.02260850798226], [2.535014939309859, 49.02381210482949], [2.525579269202697, 49.02694935566586], [2.526070541825506, 49.03005351383259], [2.5547540003171703, 49.03552245387374], [2.567710993971505, 49.04139649367744], [2.56933989297066, 49.03959499239004]]], ""type"": ""Polygon""}"
78;78062;['Beynes'];782;7815;1113;78205;7678;9;0;0;0;0;1;0;0;0;0;0;1;48.85444441397697, 1.8698901751290151;"{""coordinates"": [[[1.874862143377979, 48.83437128383238], [1.865589447956274, 48.83161237808648], [1.851510558160291, 48.83433820986675], [1.8466221791683641, 48.82866968713478], [1.8415374906793232, 48.828818416443276], [1.8392188748285472, 48.83016308220408], [1.8419058888315072, 48.84350974380354], [1.84727164014062, 48.849200964454724], [1.837521034148486, 48.856814659388625], [1.838398469990262, 48.871258746139624], [1.857293982290193, 48.87194430047556], [1.874663272220977, 48.8770285689252], [1.883102619566447, 48.874535338148135], [1.9127169447188042, 48.86084935759396], [1.903044100347343, 48.846352529476356], [1.893278662046768, 48.8473778647787], [1.888578764430072, 48.84665973104182], [1.882091589324726, 48.834609966105404], [1.874862143377979, 48.83437128383238]]], ""type"": ""Polygon""}"
78;78442;['Neauphle-le-Château'];782;7815;1113;851;3011;5;0;0;0;0;0;0;1;22;0;0;0;48.813099742087246, 1.9047041271768572;"{""coordinates"": [[[1.914910943479307, 48.802631449947846], [1.8984921038089921, 48.80962289401545], [1.893691576263476, 48.80867012254765], [1.8889579820032298, 48.80905795650232], [1.901268931614907, 48.821961792362664], [1.9130661363292432, 48.81993795131864], [1.914910943479307, 48.802631449947846]]], ""type"": ""Polygon""}"
78;78531;['Rosny-sur-Seine'];781;7833;1110;78303;5521;3;0;0;0;0;1;0;0;0;0;0;0;48.99642266327137, 1.60820077391538;"{""coordinates"": [[[1.654335039261231, 48.98203397494992], [1.65126191741521, 48.98040761352229], [1.644697250627532, 48.982743878412236], [1.6310774258987282, 48.98729282413312], [1.601482144638052, 48.982589591860865], [1.587270428324039, 48.9871536875156], [1.5671488234955482, 48.98341652681214], [1.547395665164855, 48.991039404137325], [1.574855025454035, 49.00485897324606], [1.584356936522548, 49.016348051166574], [1.600544701747193, 49.01029650548533], [1.614141978738677, 49.012046093008784], [1.637020400241068, 49.00401625754673], [1.657976270809111, 49.0061140378729], [1.656069533455543, 48.99738718089917], [1.6640477045089481, 48.99487719717149], [1.654335039261231, 48.98203397494992]]], ""type"": ""Polygon""}"
91;91047;['Baulne'];911;9111;1115;91402;1316;0;0;0;0;0;0;0;0;0;0;0;0;48.49496877256537, 2.381408841183941;"{""coordinates"": [[[2.415182717762268, 48.48113278334931], [2.400834819356814, 48.47794854085381], [2.391371982315057, 48.48068928486794], [2.384237742194355, 48.48556449582931], [2.364610483918288, 48.49040908553175], [2.351210349229127, 48.4850378296225], [2.346602093748158, 48.48669488155309], [2.352288421020651, 48.48979376405596], [2.3663735195463, 48.51029111625142], [2.40622384994851, 48.50393874026432], [2.4065133083857, 48.5022848950617], [2.398786483071321, 48.49848564810452], [2.397308111003062, 48.48813249812211], [2.415182717762268, 48.48113278334931]]], ""type"": ""Polygon""}"
91;91097;['Boussy-Saint-Antoine'];912;9138;1117;851;6292;8;0;0;0;0;1;0;1;60;0;0;0;48.6895309069063, 2.533819153135923;"{""coordinates"": [[[2.543107275178428, 48.686772170217935], [2.5296391872982102, 48.678327723073444], [2.521284434975298, 48.68145163396328], [2.520818963635352, 48.690741304157704], [2.528722494086096, 48.694136799621866], [2.531076672373326, 48.6997857076551], [2.544309615345726, 48.69845182449564], [2.548997228878015, 48.68902527117824], [2.543107275178428, 48.686772170217935]]], ""type"": ""Polygon""}"
91;91244;['Fontenay-le-Vicomte'];912;9116;1115;851;1273;0;0;0;0;0;0;0;0;0;0;0;0;48.54683861324552, 2.400680410512903;"{""coordinates"": [[[2.404570931636072, 48.53149435432244], [2.3744439389743732, 48.5454092767546], [2.390374937466352, 48.55722255661294], [2.402774167892405, 48.563195660270864], [2.425165596050208, 48.544477820202644], [2.404570931636072, 48.53149435432244]]], ""type"": ""Polygon""}"
91;91315;['Itteville'];911;9111;1115;91402;6575;6;0;0;0;0;0;0;1;21;1;10;0;48.51452413891526, 2.344315796359318;"{""coordinates"": [[[2.352288421020651, 48.48979376405596], [2.350338674804365, 48.496422363877606], [2.341659327363695, 48.49989211602809], [2.334532852545431, 48.49610997432352], [2.321981896203023, 48.50160769093288], [2.307086472728099, 48.49990243090049], [2.324144816482853, 48.518658767291136], [2.3384476332606052, 48.52164497343807], [2.341497217748613, 48.537620843033444], [2.357098994485879, 48.536815626497386], [2.359995956278527, 48.53475318937482], [2.372243073153281, 48.53686056354045], [2.362615567330006, 48.524286922840155], [2.3663735195463, 48.51029111625142], [2.352288421020651, 48.48979376405596]]], ""type"": ""Polygon""}"
75;75113;['Paris 13e Arrondissement'];751;7599;1101;851;181532;185;0;0;1;0;2;69;42;2039;0;0;42;48.82871768452136, 2.362468228516128;"{""coordinates"": [[[2.343909438065682, 48.815757146101575], [2.342031572330786, 48.83830317558654], [2.351573383125364, 48.83683535107211], [2.365944019143637, 48.84490772386109], [2.390069237832736, 48.82569680951253], [2.3642070157190442, 48.81639743914582], [2.356354375206668, 48.815959695907644], [2.352867224066928, 48.81821631152152], [2.343909438065682, 48.815757146101575]]], ""type"": ""Polygon""}"
77;77148;['Crouy-sur-Ourcq'];771;7715;1104;77000;1747;1;0;0;0;0;1;0;0;0;0;0;1;49.08674804729631, 3.07964633491512;"{""coordinates"": [[[3.075912284369979, 49.05272456340781], [3.070761315820677, 49.05751121160216], [3.058520340826142, 49.06112339317534], [3.046188088261842, 49.07171170122494], [3.047477548085467, 49.07502902092968], [3.06549719681905, 49.08180901799979], [3.066076434737008, 49.08521640406444], [3.056738441151865, 49.095767897256344], [3.056320678084198, 49.10191805097359], [3.071884293834167, 49.11755421881614], [3.079314637720356, 49.11273036025513], [3.114515245664615, 49.10715450524236], [3.110960394294643, 49.09065903744933], [3.089791102835012, 49.08045361902049], [3.087788892292767, 49.07011501644325], [3.096436225485378, 49.06191717124573], [3.075912284369979, 49.05272456340781]]], ""type"": ""Polygon""}"
77;77258;['Lognes'];775;7739;1102;851;14560;68;0;0;0;0;0;2;1;61;0;0;1;48.833280602060256, 2.633463631721739;"{""coordinates"": [[[2.6278815348807383, 48.81962227934449], [2.616115912224341, 48.82311957010879], [2.616353846231107, 48.82595330930406], [2.621041739215285, 48.827515147385334], [2.620231059120042, 48.837828127232235], [2.637712198290552, 48.845463806215065], [2.658536008864461, 48.83250255911048], [2.638125754422267, 48.83103956153102], [2.6278815348807383, 48.81962227934449]]], ""type"": ""Polygon""}"
77;77312;['Montigny-sur-Loing'];774;7721;1105;77203;2791;3;0;0;0;0;1;0;0;0;0;0;1;48.341332468841806, 2.750948600845717;"{""coordinates"": [[[2.73124808517086, 48.32351379620688], [2.720313082515633, 48.3528369541737], [2.794036645128217, 48.34719401040796], [2.793781300405696, 48.343468804253106], [2.784918476703634, 48.3358685294331], [2.772873575892014, 48.34089339395955], [2.7646160718600212, 48.33750337400936], [2.746245226536336, 48.33290391168449], [2.741174031517163, 48.324201701034234], [2.73124808517086, 48.32351379620688]]], ""type"": ""Polygon""}"
77;77335;['Chauconin-Neufmontiers'];771;7717;1104;77106;2720;3;0;0;0;0;0;0;0;0;0;0;0;48.971933278282776, 2.831586348639175;"{""coordinates"": [[[2.8258958856486798, 48.944942602991496], [2.8235981924304143, 48.96226766111016], [2.802736073345165, 48.96451022419272], [2.796148998755305, 48.98999221157907], [2.80656198926171, 48.99336351016397], [2.809683366511139, 48.99177689837727], [2.813598604727837, 48.98975981705443], [2.8372621920063, 48.994802846965456], [2.860392210210019, 48.976335123865475], [2.8573617235055497, 48.97059449810367], [2.868406048114334, 48.96201946254452], [2.86272972522934, 48.95503501055141], [2.8258958856486798, 48.944942602991496]]], ""type"": ""Polygon""}"
77;77381;['Quiers'];772;7722;1105;77000;678;0;0;0;0;0;0;0;0;0;0;0;0;48.61423322165273, 2.961598463364573;"{""coordinates"": [[[2.951953710049049, 48.59549408898955], [2.947292254838625, 48.6054947698004], [2.935389205048283, 48.61186645456553], [2.935878271052012, 48.62235497061594], [2.928314901817509, 48.626785201230255], [2.946545697100051, 48.632623521732285], [2.9560471556912162, 48.630135801639206], [2.961560747565871, 48.62438990804617], [2.986295853239492, 48.62466517262948], [2.990949877690257, 48.624422751847966], [2.986527961625491, 48.61905229914961], [2.993760521948391, 48.60776405398541], [2.985581642735446, 48.60680985965648], [2.987753015554648, 48.601853768652354], [2.951953710049049, 48.59549408898955]]], ""type"": ""Polygon""}"
78;78043;['Bailly'];783;7822;1116;78302;3914;1;0;0;0;0;0;0;0;0;0;0;0;48.83668968956094, 2.080678095717148;"{""coordinates"": [[[2.083161019829898, 48.818952748452425], [2.07068090815964, 48.82301168390119], [2.059396427905741, 48.82939919892332], [2.071589705978324, 48.83928895411326], [2.069626391123451, 48.8546263063427], [2.07085301693767, 48.85462684385782], [2.081046982064394, 48.85312265255854], [2.092697911771177, 48.84617837034004], [2.102663856993995, 48.842745920428314], [2.089120120222795, 48.826337463396264], [2.083161019829898, 48.818952748452425]]], ""type"": ""Polygon""}"
91;91161;['Chilly-Mazarin'];913;9128;1116;851;18484;22;0;0;0;0;1;1;4;288;0;0;0;48.707766312708266, 2.311112233404941;"{""coordinates"": [[[2.316143346863166, 48.69199204055646], [2.314140344624053, 48.68932705722793], [2.309906996699242, 48.69097568070157], [2.302807251874709, 48.70276257327464], [2.293806596796809, 48.70511123471632], [2.293929238042677, 48.712127854683374], [2.301738756650032, 48.71967536970686], [2.324102230699077, 48.72057766744396], [2.325042593640293, 48.71092273556821], [2.32194027417233, 48.69757493824626], [2.316143346863166, 48.69199204055646]]], ""type"": ""Polygon""}"
91;91687;['Viry-Châtillon'];912;9127;1116;851;32045;37;0;0;0;0;1;2;3;220;0;0;0;48.66961689354256, 2.373743576407093;"{""coordinates"": [[[2.365772869587406, 48.64621205122028], [2.362493724380748, 48.647957599547354], [2.359960558808694, 48.65084944481459], [2.364681254448766, 48.65673950011125], [2.3554654323547473, 48.670812195908965], [2.371882278829049, 48.685714408866716], [2.3859007352154222, 48.68348474452221], [2.3963395410812343, 48.67353575082402], [2.378054057839069, 48.66137051578436], [2.365772869587406, 48.64621205122028]]], ""type"": ""Polygon""}"
93;93010;['Bondy'];931;9394;1101;851;53530;127;0;0;0;0;2;2;1;115;0;0;2;48.9023234526246, 2.483727693897052;"{""coordinates"": [[[2.486801956303965, 48.88703635491009], [2.476639574002478, 48.8886650931809], [2.471698986846501, 48.889039095377626], [2.473939231697145, 48.89542507924433], [2.469861405218081, 48.904768868997856], [2.475214378256837, 48.91641135374975], [2.474266131597347, 48.91843060128735], [2.47939697783059, 48.91977496079716], [2.4917336814827, 48.916878261504436], [2.491198654219263, 48.91019424357254], [2.49983721841802, 48.89574288314788], [2.4954333629129453, 48.889941848009094], [2.486801956303965, 48.88703635491009]]], ""type"": ""Polygon""}"
