Code Officiel Région;Nom Officiel Région;Code Officiel Commune / Arrondissement Municipal;Nom Officiel Commune / Arrondissement Municipal;Population municipale;Population comptée à part;Population totale;Code Officiel Département;Code Officiel Arrondissement Départemental;Année de recensement;Année d’entrée en vigueur;Année de référence géographique;Nom Officiel EPCI;Code Officiel EPCI;Nom Officiel Département
11;Île-de-France;91064;Bièvres;4823;112;4935;91;003;2019;2022;2021;CA Versailles Grand Parc (C.A.V.G.P.);247800584;Essonne
11;Île-de-France;91122;Bures-sur-Yvette;9408;220;9628;91;003;2019;2022;2021;CA Communauté Paris-Saclay;200056232;Essonne
11;Île-de-France;91204;Écharcon;791;17;808;91;002;2019;2022;2021;CC du Val d'Essonne (CCVE);249100546;Essonne
11;Île-de-France;91275;Gometz-le-Châtel;2664;50;2714;91;003;2019;2022;2021;CA Communauté Paris-Saclay;200056232;Essonne
11;Île-de-France;91318;Janville-sur-Juine;1970;49;2019;91;001;2019;2022;2021;CC Entre Juine et Renarde (CCEJR);249100553;Essonne
11;Île-de-France;91339;Linas;6842;51;6893;91;003;2019;2022;2021;CA Communauté Paris-Saclay;200056232;Essonne
11;Île-de-France;77002;Amillis;826;5;831;77;001;2019;2022;2021;CA Coulommiers Pays de Brie;200090504;Seine-et-Marne
11;Île-de-France;77032;Beton-Bazoches;921;17;938;77;003;2019;2022;2021;CC du Provinois;200037133;Seine-et-Marne
11;Île-de-France;77042;Boissy-le-Châtel;3216;43;3259;77;001;2019;2022;2021;CA Coulommiers Pays de Brie;200090504;Seine-et-Marne
11;Île-de-France;77047;Bouleurs;1680;14;1694;77;001;2019;2022;2021;CA Coulommiers Pays de Brie;200090504;Seine-et-Marne
11;Île-de-France;77101;Châtenay-sur-Seine;1063;11;1074;77;003;2019;2022;2021;CC Bassée-Montois;200040251;Seine-et-Marne
11;Île-de-France;77104;Châtres;693;7;700;77;003;2019;2022;2021;CC Val Briard;200072874;Seine-et-Marne
