identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR_FERMETURE;DEA_NUMERO_RUE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON
510016;Tabac du Marché;Lundi;64 R. de Neuilly;92110;Clichy
510152;Mag Presse;Dimanche;15 Av. Charles de Gaulle;92350;Le Plessis-Robinson
510256;La Rotonde;;13 R. Henri Barbusse;92390;Villeneuve-la-Garenne
510276;Tabac du Centre;Dimanche;68 R.du Gouverneur Général Eboué;92130;Issy-les-Moulineaux
510290;Le Balto;Dimanche;63 Av. de la Grande Armée;75016;Paris
510312;Presse;;2 Rond Point Rhin et Danube;92100;Boulogne-Billancourt
510318;Le Gaulois;;6 Pl. du 11 Novembre;95100;Argenteuil
510324;Le Voltigeur;Dimanche;118 Bd  Berthier;75017;Paris
510329;Le Brazza;Lundi;53 R. de Tocqueville;75017;Paris
510353;Le Mondial;Dimanche;8 Pl. Louis Aragon;92700;Colombes
510356;Tabac du Marché;Mercredi;31 R. Carnot;92300;Levallois-Perret
510365;Le Wilson;;75 R. Labrouste;75015;Paris
510405;Le Louis XV;Samedi;31BIS R. des Bourguignons;92270;Bois-Colombes
510406;Au Jean Bart;Dimanche;44 R. du Dr  Roux;75015;Paris
510425;Le Lamartine;;178 Av. Victor Hugo;75016;Paris
510487;Le Havane;Dimanche;50 Av. Jean-Baptiste Clément;92100;Boulogne-Billancourt
510488;Au Ptit Creux Gourma;Dimanche;11 R. Georges Seurat;92110;Clichy
510505;Tabac de la Gare;;2 R. Merlin de Thionville;92150;Suresnes
510507;Le Carolène;;56 R. Berzélius;75017;Paris
510522;Plum2000;Dimanche;174 R. de la Pompe;75016;Paris
510538;Le Calumet;Dimanche;145 Av. de Villiers;75017;Paris
510545;Le Valerien;;1 R. de la Poterie;92150;Suresnes
510550;Le Flash;;35 R. Jean Pierre Timbaud;92400;Courbevoie
510551;Le café des Sports;Dimanche;34 R. Rivay;92300;Levallois-Perret
510556;Le Dugommier;Dimanche;240 R. du Charenton;75012;Paris
510557;La Gitane;;47 Bd de Grenelle;75015;Paris
510563;Le Rond Point;Dimanche;39 Av. Édouard Vaillant;92150;Suresnes
510567;Le  Village;;5 R. du Bournard;92700;Colombes
510576;Tabac Jeux;;96 R. Raynouard;75016;Paris
510588;Café Malesherbes;Dimanche;192 Bd de Malesherbes;75017;Paris
