Geo Point;Geo Shape;insee;rp2006;rp2007;rp2008;rp2009;rp2010;rp2011;rp2012;rp2013;rp2014;rp2015;objectid_1;objectid;rp1999;rp1990;rp1982;rp1975;rp1968;rp1962;rp2016;rp2017
48.6143359877, 2.80672187701;"{""coordinates"": [[2.806721877012404, 48.61433598772003]], ""type"": ""MultiPoint""}";77004;117;117.037393;114.42;127.92642;126.672241;125;121.24;118.72909699;121;121;24;24;120;106;82;84;72;73;121;120.99999996
48.922738238, 2.70848232012;"{""coordinates"": [[2.708482320116412, 48.922738237964474]], ""type"": ""MultiPoint""}";77005;1201;1214;1217;1236.846119;1224.612555;1212;1210;1230.00000001;1237.313208;1240.15660377;25;25;926;718;582;521;371;339;1243;1253.9999999
48.6668300608, 3.35256345807;"{""coordinates"": [[3.352563458068729, 48.66683006081328]], ""type"": ""MultiPoint""}";77012;112.85;114.924194;117;115.112904;114.735484;114.62;115;115;115;115;32;32;90;77;69;64;69;74;119.98653199;119.19191919
48.8432766256, 2.81653798016;"{""coordinates"": [[2.816537980161528, 48.843276625580934]], ""type"": ""MultiPoint""}";77018;1882;1942.000002;1950;2189.002307;2321.179247;2453;2571;2655;2727.169866;2750.40157578;37;37;1279;182;128;103;80;67;2774;2774.00000001
48.4483506973, 2.60080206666;"{""coordinates"": [[2.60080206666203, 48.44835069734142]], ""type"": ""MultiPoint""}";77022;640.98;647.482081;621.85;588.720589;556;560.56;549.79;589.12981075;565.064901;541;41;41;613;599;487;421;375;387;547.00000001;546.99999992
48.1405978167, 2.49226943693;"{""coordinates"": [[2.49226943693465, 48.14059781669439]], ""type"": ""MultiPoint""}";77027;402;420.896604;433.45;431.249096;429.124567;427;429.38;430.17841964;418.408335;417.52430777;46;46;359;333;341;317;321;322;417;424
48.8308579403, 2.72300327653;"{""coordinates"": [[2.723003276532096, 48.83085794027324]], ""type"": ""MultiPoint""}";77058;6921;7401.999999;7886.97;8302.171696;8570.790092;9092.57;9555.54;9830.01524109;10121.982874;10257.2711891;76;76;3321;464;163;158;161;154;10538.2699327;10650.3453598
48.7970058207, 2.97181116691;"{""coordinates"": [[2.971811166906316, 48.797005820717374]], ""type"": ""MultiPoint""}";77063;430.16;430.299672;446.05;457.342448;469;469.75;470.51;490.47204076;497.045738;504;81;81;393;327;268;207;186;185;504.99999999;506
48.190776225, 2.81408749423;"{""coordinates"": [[2.814087494227069, 48.19077622499851]], ""type"": ""MultiPoint""}";77071;309.18;310.145342;320.59;326.478936;332;337.52;337.15;343.62527233;343.625272;344;88;88;277;243;221;209;194;219;343.99999994;343
48.998671246, 2.89362113704;"{""coordinates"": [[2.893621137041447, 48.998671246004015]], ""type"": ""MultiPoint""}";77077;343.06;345.028409;347;351.3375;357.252273;358.48;363.54;369;372.506864;374;93;93;315;257;235;207;183;160;395.71298175;398.15314402
48.872185355, 2.77027076382;"{""coordinates"": [[2.770270763817286, 48.87218535497236]], ""type"": ""MultiPoint""}";77111;1191.48;1345.592387;1497.72;1650;1682.099679;1704.41;1767.81;1831.2071458;1895;2008;125;125;559;365;267;210;148;140;2072.99999999;2231.28268677
48.6037569385, 3.01507701165;"{""coordinates"": [[3.015077011651177, 48.60375693854621]], ""type"": ""MultiPoint""}";77119;86.85;89.303404;90.29;91;91.713725;94.57;98.17;98.9010989;100;100;133;133;89;81;54;46;32;32;100;106.0483871
48.8584074675, 2.71879254036;"{""coordinates"": [[2.718792540361853, 48.85840746752281]], ""type"": ""MultiPoint""}";77124;603.52;604.258125;605;609.458353;611.304705;625.6;626.12;627;627.003343;634;138;138;565;527;471;338;132;99;650.69725032;649.66216152
49.0119890931, 2.97880182804;"{""coordinates"": [[2.978801828042921, 49.011989093087685]], ""type"": ""MultiPoint""}";77126;579;582.145862;585.42;599.5495;600.945696;602;604.56;615.14023141;621.727602;617.53756116;140;140;530;443;369;281;238;220;613;616.85615075
48.8819199226, 2.86543659748;"{""coordinates"": [[2.865436597477707, 48.88191992258689]], ""type"": ""MultiPoint""}";77128;734.96;730.257286;738.11;746;755.61285;764.13;781.72;784.36226593;787;788;142;142;684;547;429;348;270;222;791;794.05103379
48.8123452185, 3.09126754759;"{""coordinates"": [[3.091267547594812, 48.81234521845072]], ""type"": ""MultiPoint""}";77131;6142.54;6111.205561;6109.36;6252.194442;6513.627256;6582.25;6621.43;6654.28088211;6774.506079;6816.10747488;145;145;5612;5052;4441;3921;3659;3040;6751.32808637;6783.33069156
48.8165557195, 2.65578413565;"{""coordinates"": [[2.655784135651682, 48.81655571949088]], ""type"": ""MultiPoint""}";77146;754;765.747179;758.37;751;748.000001;747;761.85;762.23527421;763;764;160;160;737;722;467;271;62;66;765;808.13820335
48.3134399015, 2.88956014439;"{""coordinates"": [[2.889560144392853, 48.313439901472314]], ""type"": ""MultiPoint""}";77161;301.65;304.327115;307;308.914551;315.78414;328.4;320.01;312;308.753142;314;173;173;271;219;183;132;112;142;319.71743929;319.85871965
48.8202375602, 2.70791922955;"{""coordinates"": [[2.707919229551055, 48.820237560225976]], ""type"": ""MultiPoint""}";77181;762;784;784;789.500469;843.463287;860.73;878;1071.78933566;1074.859266;1258.14389747;191;191;609;499;448;331;282;260;1345.8630935;1434
48.5324454122, 2.92664074991;"{""coordinates"": [[2.926640749912986, 48.532445412232285]], ""type"": ""MultiPoint""}";77191;348.39;353;361.51;374.641207;377.576216;378.29;379;383.27129587;384.694968;407.40590294;200;200;314;249;230;186;168;162;405.51345973;404
49.064093237, 3.16186958046;"{""coordinates"": [[3.161869580462238, 49.06409323696348]], ""type"": ""MultiPoint""}";77204;70.42;71.709595;73;72.262627;73.368688;76.73;77.87;79;77.866029;78.24401914;213;213;63;58;47;39;39;38;78.24761905;78.62380952
48.3916068082, 2.89812772423;"{""coordinates"": [[2.898127724226061, 48.391606808223706]], ""type"": ""MultiPoint""}";77210;962;975.475027;988.24;1001;1002;1013;1018.33;1035.85643146;1053;1056;219;219;906;806;734;599;495;458;1059.99999993;1080.40692133
48.9978930438, 3.0128691846;"{""coordinates"": [[3.012869184598724, 48.99789304384606]], ""type"": ""MultiPoint""}";77231;254;260;268.11;270.230694;272.46607;274.23;276;282.00768246;280.240717;278.85111663;239;239;214;168;152;117;102;109;280.60049628;282
48.9144969642, 2.75699747856;"{""coordinates"": [[2.756997478557036, 48.91449696415921]], ""type"": ""MultiPoint""}";77234;211.27;214;216.04;214.340763;223.650001;227.5;231;239.05;238.7;238.95043732;242;242;187;115;99;95;87;64;239.65014577;240
48.830781983, 2.76301855441;"{""coordinates"": [[2.763018554413875, 48.83078198296404]], ""type"": ""MultiPoint""}";77237;230.09;234.540115;242.65;240.014309;237;238.13;241.9;241.33731343;244.668657;248;245;245;204;188;177;166;142;142;247.99999996;252
48.4548047486, 2.97584596662;"{""coordinates"": [[2.97584596661887, 48.45480474858687]], ""type"": ""MultiPoint""}";77245;166.26;165.125936;164.09;163;164.811111;167.35;167.64;168;168;169;253;253;144;128;111;100;80;76;170;186.84878049
48.8338644493, 2.63402109956;"{""coordinates"": [[2.634021099561075, 48.833864449269385]], ""type"": ""MultiPoint""}";77258;4696.42;4863.186945;4958.13;5020.582859;5038.519755;5042.11;5090.43;5115.73980555;5134.077198;5262.90751894;266;266;4133;3536;528;65;80;83;5440.16919882;5556.07171024
48.2056996011, 2.70154631927;"{""coordinates"": [[2.701546319271967, 48.20569960113926]], ""type"": ""MultiPoint""}";77267;139.99;150.351892;145.54;141;138.938595;136.88;139.06;141.53142857;144;144;275;275;133;111;97;95;84;72;145;157.77777778
49.015579298, 3.03367887322;"{""coordinates"": [[3.033678873217969, 49.01557929803502]], ""type"": ""MultiPoint""}";77280;385.29;386;393.45;394.869278;412.461169;414.9;417;417.36926823;415.897618;457.96742893;288;288;367;327;265;191;130;125;454.67720249;451
48.539636977, 2.62951697584;"{""coordinates"": [[2.629516975844394, 48.53963697703829]], ""type"": ""MultiPoint""}";77285;7791.48;7834.190197;7860.02;7722.577299;7771.268157;7736.45;7680.79;7674.15015674;7762.892212;7745.3025076;293;293;7683;7338;4842;3173;1251;432;7776.94365451;7807.21917506
48.3365888265, 2.93384192215;"{""coordinates"": [[2.93384192215183, 48.33658882653314]], ""type"": ""MultiPoint""}";77338;193.25;195.8654;198.6;201;201;205.46;211.12;213.56129032;216;216.99999998;343;343;154;150;120;85;74;78;216;222.74706868
48.7639383906, 2.6802282187;"{""coordinates"": [[2.680228218695879, 48.76393839062711]], ""type"": ""MultiPoint""}";77350;7186.56;7299.478658;7505.76;7489.97287;7499.46656;7508.27;7483.73;7474.27750675;7623.472991;7618.93908014;354;354;6921;5890;4165;3336;1429;926;7735.96576646;7864.0864252
48.428975106, 3.3457616845;"{""coordinates"": [[3.345761684496372, 48.428975105992976]], ""type"": ""MultiPoint""}";77356;15.22;15.609757;16;16.780488;17.170731;19.88;20.73;22;22.423077;21.15384615;359;359;16;14;14;12;13;12;22.36956522;21.45652174
48.5451611454, 3.27740666915;"{""coordinates"": [[3.277406669146078, 48.54516114536758]], ""type"": ""MultiPoint""}";77368;159.61;156.317438;167.69;175.027528;182;180.9;179.8;185.83938815;189.919694;194;370;370;140;124;111;83;108;78;194;197
48.2203004056, 2.82440978123;"{""coordinates"": [[2.82440978123347, 48.22030040559441]], ""type"": ""MultiPoint""}";77387;157.67;157.254226;160.12;163;169.491149;171.29;182.54;181.77185501;181;181;388;388;133;129;111;113;113;118;181;175.32618026
48.56415129, 2.67992528603;"{""coordinates"": [[2.679925286031788, 48.56415129002693]], ""type"": ""MultiPoint""}";77394;691;684.015524;678.87;706.996338;712.309189;718;752.2;761.34317328;785.902399;799.76283903;395;395;580;558;539;221;132;110;814;842.99999999
48.9509915951, 3.21725366884;"{""coordinates"": [[3.217253668837804, 48.95099159510606]], ""type"": ""MultiPoint""}";77397;700.15;697.032376;703.72;706.159128;709;714.28;716.71;724.70306873;729.054189;733;398;398;648;548;475;437;404;429;734.99999999;741.99999993
48.8763265103, 3.29307055811;"{""coordinates"": [[3.293070558112422, 48.87632651032988]], ""type"": ""MultiPoint""}";77398;260.67;263;264.94;269.604138;278.002853;279.2;280;280.79885877;281.597718;295.42302358;399;399;241;217;195;166;156;155;297.91955617;300
48.8638957081, 2.67642342789;"{""coordinates"": [[2.676423427892027, 48.86389570806304]], ""type"": ""MultiPoint""}";77438;2181;2256.886476;2222.83;2189;2206;2217;2223.48;2241.41659531;2259;2268.99999999;437;437;2065;1328;485;419;252;244;2320.00000001;2379.86827078
48.4198179725, 2.76915786532;"{""coordinates"": [[2.769157865319361, 48.419817972532165]], ""type"": ""MultiPoint""}";77442;844;866.999999;884.6;882.801637;881;891;892;935.14556421;938.273933;941;441;441;776;632;518;397;278;245;945;950.00000001
48.5364195784, 3.36362659477;"{""coordinates"": [[3.363626594766799, 48.5364195783502]], ""type"": ""MultiPoint""}";77459;480.03;463.932553;473.84;484;488.720267;498.56;529.65;538.00731401;546;549.00000001;458;458;421;387;321;249;226;216;560.00000001;574.71978474
48.9586013749, 2.96655022516;"{""coordinates"": [[2.966550225161032, 48.95860137491184]], ""type"": ""MultiPoint""}";77475;1795.22;1803.611121;1812;1820;1826;1863.25;1876.63;1890;1909;1925.99999999;474;474;1661;1306;1125;831;653;501;1977;1987.99999999
48.446602472, 2.89264158776;"{""coordinates"": [[2.892641587763852, 48.44660247195681]], ""type"": ""MultiPoint""}";77480;254.37;262;272.07;278.990634;280.18698;276.75;273;275.47408913;279.704445;293.76040983;479;479;211;178;151;136;145;152;300.88028017;308
49.0419488161, 3.10812612;"{""coordinates"": [[3.108126120001447, 49.04194881605747]], ""type"": ""MultiPoint""}";77490;245.57;254.379402;257.14;260;261.072905;256.78;266.32;270.34178905;274;276;488;488;215;163;141;136;132;139;276;291.58045977
48.8789303847, 3.36529489933;"{""coordinates"": [[3.365294899327009, 48.8789303846543]], ""type"": ""MultiPoint""}";77492;278.67;284.027846;304.96;302.481408;300;292.97;291.73;296.97398844;295.699422;294;489;489;249;212;182;171;176;175;296;296
48.2050630302, 2.92852319371;"{""coordinates"": [[2.928523193711506, 48.205063030175594]], ""type"": ""MultiPoint""}";77500;170.19;173.620016;172.13;171;171.375;171.38;171.65;173.5082047;175;176;495;495;155;132;119;88;85;87;176;185.35364006
48.9202170402, 2.98481559056;"{""coordinates"": [[2.98481559055837, 48.920217040239706]], ""type"": ""MultiPoint""}";77505;127.44;128.519324;130.61;133;135.046154;135.39;133.67;134.66666667;136;137;498;498;115;104;93;53;46;45;137;143.06493507
48.4004601731, 3.31325811653;"{""coordinates"": [[3.313258116526811, 48.400460173087914]], ""type"": ""MultiPoint""}";77507;160;171.124991;176.53;178.646465;182.010099;185;187.62;187.98989899;204.137931;194.7816092;500;500;143;111;113;113;116;123;185;186
48.4939389969, 3.03078291112;"{""coordinates"": [[3.030782911115831, 48.49393899685185]], ""type"": ""MultiPoint""}";77509;210.98;220.346704;224.14;228;236.501695;235.34;237.57;236.78405316;236;237.99999998;502;502;206;174;125;100;100;94;240;247.81383855
48.9119921548, 2.66189227349;"{""coordinates"": [[2.661892273486357, 48.91199215477496]], ""type"": ""MultiPoint""}";77517;553.59;564.795137;576;579.150977;584.0527;592.3;596.65;601;610.527421;619.99999997;510;510;475;382;337;291;258;224;666.86526384;675.09137827
49.0755525505, 2.95819136986;"{""coordinates"": [[2.958191369863707, 49.075552550491444]], ""type"": ""MultiPoint""}";77526;60.27;73.90904;77.01;80;79.252336;78.13;76.62;83.30855019;90;96.69144981;519;519;59;52;44;39;51;60;99.03345725;99.11552347
48.9780753657, 2.07701009284;"{""coordinates"": [[2.077010092842365, 48.978075365678144]], ""type"": ""MultiPoint""}";78005;7560.83;7571.09927;7578.7;7594.407753;7664.294411;7746.26;7745.63;8048.17115392;8384.252625;8394.59043484;529;529;6936;5163;4889;4471;3001;1674;8441.58381633;8539.53986797
48.9758327421, 2.0322554382;"{""coordinates"": [[2.032255438200814, 48.97583274205198]], ""type"": ""MultiPoint""}";78138;2791;2879;2945.88;2987.780509;3030;3046;3161;3256.36320042;3314.844088;3373;577;577;2704;2786;2840;1238;621;521;3388.99999999;3431.65059497
49.0157528688, 1.4853719311;"{""coordinates"": [[1.485371931098569, 49.015752868817565]], ""type"": ""MultiPoint""}";78147;149.37;149;151.58;151.207408;155.873874;159.94;164;168.43243243;165.477477;170.39490446;581;581;136;112;91;66;52;51;173.01061571;176
