Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Column 12;Column 13;Column 14;Column 15
3;Métro;GARE DE LYON;36352115;1;14;A;;;Paris;12;;;;
16;Métro;FRANKLIN D. ROOSEVELT;10899310;1;9;;;;Paris;8;;;;
33;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7381123;7;;;;;Aubervilliers;;;;;
49;Métro;INVALIDES;6290697;8;13;;;;Paris;7;;;;
78;Métro;SEVRES-BABYLONE;5178469;10;12;;;;Paris;7;;;;
72;Métro;REAUMUR-SEBASTOPOL;5317006;3;4;;;;Paris;3;;;;
86;Métro;BALARD;4994071;8;;;;;Paris;15;;;;
108;Métro;LE KREMLIN-BICETRE;4307422;7;;;;;Kremlin-Bicêtre;;;;;
122;Métro;CHATEAU D'EAU;4010100;4;;;;;Paris;10;;;;
131;Métro;PORTE DES LILAS;3803232;3bis;11;;;;Paris;20;;;;
142;Métro;TERNES;3616052;2;;;;;Paris;17;;;;
178;Métro;CHARENTON-ECOLES;2979524;8;;;;;Charenton;;;;;
214;Métro;WAGRAM;2475539;3;;;;;Paris;17;;;;
217;Métro;LOURMEL;2423494;8;;;;;Paris;15;;;;
272;Métro;MONCEAU;1608558;2;;;;;Paris;17;;;;
282;Métro;MIRABEAU;1366605;10;;;;;Paris;16;;;;
302;Métro;PELLEPORT;352513;3bis;;;;;Paris;20;;;;
46;Métro;PONT DE NEUILLY;6815851;1;;;;;Neuilly Sur Seine;;;;;
83;Métro;PYRAMIDES;5070872;7;14;;;;Paris;1;;;;
128;Métro;LEDRU-ROLLIN;3895615;8;;;;;Paris;12;;;;
197;Métro;JAVEL-ANDRE CITROEN;2745396;10;;;;;Paris;15;;;;
246;Métro;MICHEL-ANGE-AUTEUIL;2096180;9;10;;;;Paris;16;;;;
250;Métro;BOISSIERE;2070907;6;;;;;Paris;16;;;;
257;Métro;AVRON;1925980;2;;;;;Paris;11;;;;
259;Métro;MALAKOFF-RUE ETIENNE DOLET;1871202;13;;;;;Malakoff;;;;;
296;Métro;PORTE D'AUTEUIL;671787;10;;;;;Paris;16;;;;
303;Métro;EGLISE D'AUTEUIL;172812;10;;;;;Paris;16;;;;
27;RER;JOINVILLE-LE-PONT;3823443;A;;;;;Joinville-le-Pont;;;;;
39;RER;BOISSY-SAINT-LEGER;2482050;A;;;;;Boissy-Saint-Léger;;;;;
42;Métro;MADELEINE;6992609;8;12;14;;;Paris;8;;;;
53;RER;FONTENAY-AUX-ROSES;1115170;B;;;;;Fontenay aux roses;;;;;
53;Métro;JAURES;6133119;2;5;7bis;;;Paris;19;;;;
8;Métro;LES HALLES;16128080;4;;;;;Paris;1;;;;
57;Métro;LA COURNEUVE-8 MAI 1945;6013067;7;;;;;La Courneuve;;;;;
14;Métro;BELLEVILLE;11402348;2;11;;;;Paris;10;;;;
115;Métro;SAINT-DENIS-PORTE DE PARIS;4179663;13;;;;;Saint Denis;;;;;
68;Métro;PIGALLE;5589061;2;12;;;;Paris;18;;;;
139;Métro;PORTE DE LA VILLETTE;3661072;7;;;;;Paris;19;;;;
85;Métro;PONT DE LEVALLOIS-BECON;5025588;3;;;;;Levallois-Perret;;;;;
175;Métro;PLACE DES FETES;3078947;7bis;11;;;;Paris;19;;;;
24;Métro;NATION;8792715;1;2;6;9;;Paris;12;;;;
89;Métro;PASTEUR;4944020;6;12;;;;Paris;9;;;;
186;Métro;ROME;2870252;2;;;;;Paris;17;;;;
58;Métro;ODEON;5896554;4;10;;;;Paris;6;;;;
87;Métro;PONT DE SEVRES;4980193;9;;;;;Boulogne Billancourt;;;;;
193;Métro;NOTRE-DAME-DE-LORETTE;2794182;12;;;;;Paris;9;;;;
80;Métro;PORTE DE PANTIN;5126473;5;;;;;Paris;19;;;;
102;Métro;ROBESPIERRE;4551649;9;;;;;Montreuil;;;;;
231;Métro;VAVIN;2279221;4;;;;;Paris;14;;;;
130;Métro;BLANCHE;3829404;2;;;;;Paris;9;;;;
118;Métro;RAMBUTEAU;4139059;11;;;;;Paris;3;;;;
243;Métro;BREGUET-SABIN;2139259;5;;;;;Paris;11;;;;
121;Métro;CHARONNE;4020524;9;;;;;Paris;12;;;;
154;Métro;BOURSE;3410557;3;;;;;Paris;2;;;;
252;Métro;JASMIN;2037263;9;;;;;Paris;16;;;;
134;Métro;EGLISE DE PANTIN;3769284;5;;;;;Pantin;;;;;
169;Métro;ETIENNE MARCEL;3131944;4;;;;;Paris;1;;;;
258;Métro;RICHARD LENOIR;1906906;5;;;;;Paris;11;;;;
145;Métro;SENTIER;3575805;3;;;;;Paris;3;;;;
195;Métro;MARAICHERS;2769540;9;;;;;Paris;20;;;;
262;Métro;PHILIPPE AUGUSTE;1812544;2;;;;;Paris;11;;;;
166;Métro;PERNETY;3151413;13;;;;;Paris;14;;;;
235;Métro;CLUNY LA SORBONNE;2255703;10;;;;;Paris;5;;;;
273;Métro;SEGUR;1597696;10;;;;;Paris;15;;;;
172;Métro;BERAULT;3094974;1;;;;;Vincennes;;;;;
220;Métro;RIQUET;2391609;7;;;;;Paris;19;;;;
275;Métro;PIERRE CURIE;1523465;7;;;;;Ivry;;;;;
299;Métro;BOLIVAR;564032;7bis;;;;;Paris;19;;;;
228;Métro;RUE DU BAC;2314720;12;;;;;Paris;7;;;;
292;Métro;BOTZARIS;958552;7bis;;;;;Paris;19;;;;
45;RER;BRY-SUR-MARNE;2151853;A;;;;;Bry-sur-Marne;;;;;
256;Métro;PORTE D'IVRY;1929011;7;;;;;Paris;13;;;;
2;RER;GARE DE LYON-RER;37192652;A;;;;;Paris;12;;;;
7;Métro;BIBLIOTHEQUE;17491541;14;;;;;Paris;13;;;;
264;Métro;MONTGALLET;1755560;8;;;;;Paris;12;;;;
33;RER;ARCUEIL-CACHAN;3343757;B;;;;;Arcueil;;;;;
25;Métro;PORTE DE CLIGNANCOURT;8432306;4;;;;;Paris;18;;;;
293;Métro;FALGUIERE;884202;12;;;;;Paris;15;;;;
15;Métro;OPERA;10981914;3;7;8;;;Paris;9;;;;
202;Métro;CHATEAU ROUGE;2664077;4;;;;;Paris;18;;;;
16;RER;LUXEMBOURG;5499946;B;;;;;Paris;5;;;;
45;Métro;VILLEJUIF-LOUIS ARAGON;6865612;7;;;;;Villejuif;;;;;
148;Métro;LES GOBELINS;3520605;7;;;;;Paris;13;;;;
52;RER;LE VESINET-CENTRE;1248923;A;;;;;Le Vésinet;;;;;
55;Métro;PORTE DE VERSAILLES;6080322;12;;;;;Paris;15;;;;
160;Métro;PYRENEES;3335906;11;;;;;Paris;20;;;;
20;Métro;PALAIS-ROYAL;9621986;1;7;;;;Paris;1;;;;
119;Métro;LES COURTILLES;4103831;13;;;;;Asnières sur Seine;;;;;
189;Métro;FUNICULAIRE;2850830;2;;;;;Paris;18;;;;
63;Métro;MARCEL SEMBAT;5879264;9;;;;;Boulogne Billancourt;;;;;
140;Métro;VAUGIRARD;3648085;12;;;;;Paris;15;;;;
176;Métro;SIMPLON;3021317;4;;;;;Paris;18;;;;
73;Métro;DAUMESNIL;5316753;6;8;;;;Paris;12;;;;
187;Métro;SAINT-MAUR;2863984;3;;;;;Paris;11;;;;
191;Métro;SAINT-AMBROISE;2820580;9;;;;;Paris;11;;;;
82;Métro;CRETEIL-PREFECTURE;5080418;8;;;;;Créteil;;;;;
194;Métro;SAINT-PHILIPPE-DU-ROULE;2782782;9;;;;;Paris;8;;;;
203;Métro;COURCELLES;2663534;2;;;;;Paris;17;;;;
101;Métro;GUY MOQUET;4587665;13;;;;;Paris;17;;;;
270;Métro;CHATEAU-LANDON;1679432;7;;;;;Paris;10;;;;
209;Métro;JACQUES BONSERGENT;2569940;5;;;;;Paris;10;;;;
133;Métro;ANATOLE FRANCE;3794787;3;;;;;Levallois-Perret;;;;;
294;Métro;SAINT-FARGEAU;742869;3bis;;;;;Paris;8;;;;
238;Métro;BEL AIR;2223888;6;;;;;Paris;12;;;;
147;Métro;POISSONNIERE;3528982;7;;;;;Paris;10;;;;
21;Métro;GARE D'AUSTERLITZ;9438016;5;10;;;;Paris;13;;;;
279;Métro;PONT NEUF;1466310;7;;;;;Paris;4;;;;
183;Métro;COMMERCE;2885201;8;;;;;Paris;15;;;;
38;Métro;GAMBETTA;7095196;3;3bis;;;;Paris;20;;;;
277;Métro;EUROPE;1501598;3;;;;;Paris;8;;;;
210;Métro;RUE DES BOULETS;2561884;9;;;;;Paris;11;;;;
39;Métro;MAIRIE DE CLICHY;7089241;13;;;;;Clichy;;;;;
298;Métro;DANUBE;618124;7bis;;;;;Paris;19;;;;
241;Métro;EDGAR QUINET;2178463;6;;;;;Paris;14;;;;
54;Métro;SAINT-MANDE-TOURELLE;6099638;1;;;;;Saint Mandé;;;;;
13;RER;ANTONY;6407808;B;;;;;Antony;;;;;
244;Métro;LA TOUR-MAUBOURG;2110789;8;;;;;Paris;7;;;;
81;Métro;HOCHE;5085421;5;;;;;Pantin;;;;;
15;RER;AUBER;5755055;A;;;;;Paris;9;;;;
1;RER;GARE DU NORD-RER;47738502;B;;;;;Paris;10;;;;
90;Métro;CHARLES MICHELS;4923871;10;;;;;Paris;15;;;;
14;RER;RUEIL-MALMAISON;6183873;A;;;;;Rueil-Malmaison;;;;;
23;RER;SAINT-GERMAIN-EN-LAYE;4454977;A;;;;;Saint-Germain-en-Laye;;;;;
116;Métro;PORTE DE CLICHY;4145014;13;;;;;Paris;17;;;;
2;Métro;SAINT-LAZARE;45879586;3;9;12;13;14;Paris;8;;;;
26;RER;VAL D'EUROPE;4094800;A;;;;;Serris;;;;;
123;Métro;OURCQ;3985487;5;;;;;Paris;19;;;;
4;Métro;MONTPARNASSE-BIENVENUE;30359225;4;6;12;13;;Paris;14;;;;
44;RER;GENTILLY;2165738;B;;;;;Gentilly;;;;;
135;Métro;BOULOGNE-JEAN JAURES;3767032;10;;;;;Boulogne Billancourt;;;;;
18;Métro;ESPLANADE DE LA DEFENSE;10317385;1;;;;;Puteaux;;;;;
61;RER;FONTAINE-MICHALON;708085;B;;;;;Antony;;;;;
158;Métro;JOURDAIN;3356879;11;;;;;Paris;20;;;;
34;Métro;HAVRE-CAUMARTIN;7356084;3;9;;;;Paris;9;;;;
37;Métro;OLYMPIADES;7103304;14;;;;;Paris;13;;;;
177;Métro;GAITE;3009210;13;;;;;Paris;14;;;;
31;Métro;BOBIGNY-PABLO PICASSO;7737626;5;;;;;Bobigny;;;;;
47;Métro;PORTE D'ORLEANS;6643601;4;;;;;Paris;14;;;;
182;Métro;LAMARCK-CAULAINCOURT;2946177;12;;;;;Paris;18;;;;
61;Métro;ANVERS;5890665;2;;;;;Paris;18;;;;
59;Métro;MIROMESNIL;5895561;9;13;;;;Paris;8;;;;
206;Métro;TUILERIES;2622025;1;;;;;Paris;1;;;;
52;Métro;SAINT-PAUL;6158849;1;;;;;Paris;4;;;;
149;Métro;CENSIER-DAUBENTON;3519746;7;;;;;Paris;6;;;;
240;Métro;SAINT-JACQUES;2187883;6;;;;;Paris;13;;;;
66;Métro;REUILLY-DIDEROT;5765809;1;8;;;;Paris;12;;;;
170;Métro;BILLANCOURT;3105469;9;;;;;Boulogne Billancourt;;;;;
265;Métro;MABILLON;1738843;10;;;;;Paris;6;;;;
105;Métro;JULES JOFFRIN;4344027;12;;;;;Paris;18;;;;
234;Métro;MAUBERT-MUTUALITE;2260212;10;;;;;Paris;5;;;;
10;RER;SAINT-MICHEL-NOTRE-DAME;7355560;B;;;;;Paris;;;;;
111;Métro;JUSSIEU;4282997;7;10;;;;Paris;5;;;;
224;Métro;TELEGRAPHE;2342747;11;;;;;Paris;20;;;;
47;RER;LE VESINET-LE PECQ;2122393;A;;;;;Le Vésinet;;;;;
126;Métro;DUPLEIX;3905952;6;;;;;Paris;15;;;;
226;Métro;LES AGNETTES;2323166;13;;;;;Asnières sur Seine;;;;;
5;Métro;GARE DE L'EST;20373189;4;5;7;;;Paris;10;;;;
125;Métro;FORT D'AUBERVILLIERS;3928197;7;;;;;Aubervilliers;;;;;
245;Métro;CITE;2109969;4;;;;;Paris;4;;;;
28;Métro;LA MOTTE-PICQUET-GRENELLE;8000496;6;8;10;;;Paris;15;;;;
211;Métro;QUAI DE LA GARE;2544008;6;;;;;Paris;13;;;;
254;Métro;BUZENVAL;1963737;9;;;;;Paris;20;;;;
36;Métro;CHATILLON-MONTROUGE;7274236;13;;;;;Chatillon;;;;;
190;Métro;CORENTIN CARIOU;2833439;7;;;;;Paris;19;;;;
287;Métro;KLEBER;1249446;6;;;;;Paris;16;;;;
71;Métro;CONVENTION;5533112;12;;;;;Paris;15;;;;
174;Métro;RUE DE LA POMPE;3082105;9;;;;;Paris;16;;;;
46;RER;LE PARC DE SAINT-MAUR;2125885;A;;;;;Saint-Maur des Fossés;;;;;
113;Métro;SAINT-GERMAIN DES PRES;4195883;4;;;;;Paris;6;;;;
232;Métro;ABBESSES;2276012;12;;;;;Paris;18;;;;
138;Métro;MALAKOFF-PLATEAU DE VANVES;3667554;13;;;;;Malakoff;;;;;
301;Métro;PRE-SAINT-GERVAIS;360890;7bis;;;;;Paris;19;;;;
141;Métro;MARX DORMOY;3645866;12;;;;;Paris;18;;;;
31;RER;CHAMPIGNY;3461601;A;;;;;Saint-Maur des Fossés;;;;;
204;Métro;NATIONALE;2641580;6;;;;;Paris;13;;;;
41;RER;SUCY-BONNEUIL;2298313;A;;;;;Sucy-en-Brie;;;;;
271;Métro;CARDINAL LEMOINE;1642759;10;;;;;Paris;5;;;;
1;Métro;GARE DU NORD;50872319;4;5;;;;Paris;10;;;;
289;Métro;SAINT-GEORGES;1233216;12;;;;;Paris;9;;;;
104;Métro;MENILMONTANT;4348973;2;;;;;Paris;11;;;;
3;RER;LA DEFENSE-RER;31115228;A;;;;;Puteaux;;;;;
120;Métro;ALMA-MARCEAU;4070093;9;;;;;Paris;8;;;;
20;RER;NOISY-CHAMPS;4868790;A;;;;;Champs-sur-Marne;;;;;
150;Métro;PORTE DE CHAMPERRET;3512664;3;;;;;Paris;17;;;;
25;RER;TORCY;4141694;A;;;;;Torcy;;;;;
163;Métro;BOULOGNE-PONT DE SAINT-CLOUD;3202618;10;;;;;Boulogne Billancourt;;;;;
36;RER;NOGENT-SUR-MARNE;2704755;A;;;;;Nogent-sur-Marne;;;;;
201;Métro;CARREFOUR PLEYEL;2669794;13;;;;;Saint Denis;;;;;
41;Métro;PORTE DE VINCENNES;7058223;1;;;;;Paris;12;;;;
215;Métro;SAINT-SULPICE;2432844;4;;;;;Paris;6;;;;
64;Métro;COUR SAINT-EMILION;5859214;14;;;;;Paris;12;;;;
255;Métro;QUATRE-SEPTEMBRE;1929562;3;;;;;Paris;2;;;;
76;Métro;CROIX DE CHAVAUX;5215902;9;;;;;Montreuil;;;;;
261;Métro;FELIX FAURE;1814488;8;;;;;Paris;15;;;;
91;Métro;PLAISANCE;4903776;13;;;;;Paris;14;;;;
267;Métro;FILLES DU CALVAIRE;1710231;8;;;;;Paris;3;;;;
188;Métro;PORTE DE LA CHAPELLE;2853699;12;;;;;Paris;18;;;;
295;Métro;ASSEMBLEE NATIONALE;739282;12;;;;;Paris;7;;;;
208;Métro;LIBERTE;2574219;8;;;;;Charenton;;;;;
6;RER;VAL DE FONTENAY;12969924;A;;;;;Fontenay-sous-Bois;;;;;
207;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2579124;5;;;;;Pantin;;;;;
38;RER;FONTENAY-SOUS-BOIS;2554932;A;;;;;Fontenay-sous-Bois;;;;;
236;Métro;SOLFERINO;2243672;12;;;;;Paris;7;;;;
13;Métro;PLACE D'ITALIE;11462253;5;6;7;;;Paris;13;;;;
49;RER;LA VARENNE-CHENNEVIERES;1860491;A;;;;;saint-Maur des Fossés;;;;;
247;Métro;MICHEL-ANGE-MOLITOR;2093279;9;10;;;;Paris;16;;;;
40;Métro;STALINGRAD;7063687;2;5;7;;;Paris;19;;;;
22;Métro;PORTE MAILLOT;9083545;1;;;;;Paris;16;;;;
291;Métro;VANEAU;980057;10;;;;;Paris;7;;;;
75;Métro;GABRIEL PERI;5245603;13;;;;;Asnières;;;;;
77;Métro;ALESIA;5207485;4;;;;;Paris;14;;;;
62;RER;SCEAUX;706968;B;;;;;sceaux;;;;;
109;Métro;PORTE DE BAGNOLET;4305206;3;;;;;Paris;20;;;;
127;Métro;ARTS ET METIERS;3899198;3;11;;;;Paris;3;;;;
151;Métro;DUROC;3509866;10;13;;;;Paris;7;;;;
129;Métro;PASSY;3835814;6;;;;;Paris;16;;;;
159;Métro;GARIBALDI;3346731;13;;;;;Saint Ouen;;;;;
153;Métro;GONCOURT;3415341;11;;;;;Paris;11;;;;
179;Métro;ARGENTINE;2975436;1;;;;;Paris;17;;;;
152;Métro;CORENTIN CELTON;3486870;12;;;;;Issy Les Moulineaux;;;;;
198;Métro;CRETEIL-POINTE DU LAC;2729376;8;;;;;Créteil;;;;;
155;Métro;BROCHANT;3383369;13;;;;;Paris;17;;;;
227;Métro;PORTE D'ITALIE;2316136;7;;;;;Paris;13;;;;
192;Métro;LA FOURCHE;2817908;13;;;;;Paris;8;;;;
297;Métro;CHARDON-LAGACHE;642202;10;;;;;Paris;16;;;;
218;Métro;LOUIS BLANC;2419456;7;7bis;;;;Paris;10;;;;
7;RER;MASSY-PALAISEAU;8989578;B;;;;;Massy;;;;;
274;Métro;PONT MARIE;1558885;7;;;;;Paris;4;;;;
8;RER;CHARLES DE GAULLE-ETOILE-RER;8404924;A;;;;;Paris;17;;;;
283;Métro;PICPUS;1313242;6;;;;;Paris;12;;;;
65;RER;PARC DE SCEAUX;585494;B;;;;;Antony;;;;;
12;RER;VINCENNES;6718268;A;;;;;Vincennes;;;;;
51;Métro;MAIRIE DE MONTROUGE;6164559;4;;;;;Montrouge;;;;;
51;RER;LOGNES;1600341;A;;;;;Lognes;;;;;
110;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4300906;1;13;;;;Paris;8;;;;
56;RER;LE GUICHET;923888;B;;;;;Orsay;;;;;
157;Métro;TOLBIAC;3363265;7;;;;;Paris;13;;;;
185;Métro;SAINT-AUGUSTIN;2872445;9;;;;;Paris;8;;;;
200;Métro;FRONT POPULAIRE;2672036;12;;;;;Saint Denis / Aubervilliers;;;;;
219;Métro;VOLONTAIRES;2405459;12;;;;;Paris;15;;;;
199;Métro;DUGOMMIER;2694704;6;;;;;Paris;12;;;;
216;Métro;IENA;2430271;9;;;;;Paris;16;;;;
213;Métro;CORVISART;2495811;6;;;;;Paris;13;;;;
268;Métro;LIEGE;1690807;13;;;;;Paris;8;;;;
19;RER;DENFERT-ROCHEREAU-RER;5000661;B;;;;;Paris;14;;;;
48;RER;ROBINSON;2007606;B;;;;;Sceaux;;;;;
9;Métro;LA DEFENSE;15031139;1;;;;;Puteaux;;;;;
19;Métro;STRASBOURG-SAINT-DENIS;10145616;4;8;9;;;Paris;2;;;;
17;Métro;BARBES-ROCHECHOUART;10856026;2;4;;;;Paris;18;;;;
106;Métro;ECOLE MILITAIRE;4315153;8;;;;;Paris;7;;;;
117;Métro;MAIRIE DE SAINT-OUEN;4143606;13;;;;;Saint Ouen;;;;;
180;Métro;PLACE MONGE;2971998;7;;;;;Paris;6;;;;
167;Métro;CAMBRONNE;3140382;6;;;;;Paris;15;;;;
237;Métro;TRINITE-D'ESTIENNE D'ORVES;2226802;12;;;;;Paris;9;;;;
251;Métro;EXELMANS;2044451;9;;;;;Paris;16;;;;
253;Métro;MICHEL BIZOT;2006980;8;;;;;Paris;12;;;;
24;RER;NATION-RER;4171797;A;;;;;Paris;12;;;;
11;Métro;BASTILLE;13225099;1;5;8;;;Paris;12;;;;
12;Métro;HOTEL DE VILLE;11764439;1;11;;;;Paris;4;;;;
35;Métro;MAIRIE DE MONTREUIL;7335865;9;;;;;Montreuil;;;;;
48;Métro;LA CHAPELLE;6630341;2;;;;;Paris;9;;;;
56;Métro;VILLIERS;6063343;2;3;;;;Paris;17;;;;
112;Métro;MAIRIE D'ISSY;4279661;12;;;;;Issy Les Moulineaux;;;;;
137;Métro;ALEXANDRE DUMAS;3685441;2;;;;;Paris;11;;;;
156;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3367371;8;;;;;Maisons -Alfort;;;;;
181;Métro;COURONNES;2965420;2;;;;;Paris;11;;;;
205;Métro;MALESHERBES;2626600;3;;;;;Paris;17;;;;
164;Métro;PARMENTIER;3201707;3;;;;;Paris;11;;;;
225;Métro;SEVRES-LECOURBE;2341763;6;;;;;Paris;15;;;;
278;Métro;AVENUE EMILE ZOLA;1466777;10;;;;;Paris;15;;;;
288;Métro;QUAI DE LA RAPEE;1239904;5;;;;;Paris;12;;;;
32;RER;PORT ROYAL;3384237;B;;;;;Paris;5;;;;
37;RER;NOISIEL;2681812;A;;;;;Noisiel;;;;;
40;RER;ORSAY-VILLE;2431429;B;;;;;Orsay;;;;;
43;RER;BAGNEUX;2198203;B;;;;;Cachan;;;;;
42;RER;CHATOU-CROISSY;2209283;A;;;;;Chatou;;;;;
58;RER;LOZERE;816797;B;;;;;Palaiseau;;;;;
60;RER;BURES-SUR-YVETTE;714901;B;;;;;Bures sur Yvette;;;;;
30;Métro;BIR-HAKEIM;7932555;6;;;;;Paris;15;;;;
70;Métro;BERCY;5544847;6;14;;;;Paris;12;;;;
92;Métro;SAINT-DENIS-UNIVERSITE;4875315;13;;;;;Saint Denis;;;;;
94;Métro;PERE LACHAISE;4808099;2;3;;;;Paris;20;;;;
100;Métro;PORTE DE VANVES;4619691;13;;;;;Paris;14;;;;
136;Métro;PORTE DE SAINT-OUEN;3725695;13;;;;;Paris;17;;;;
144;Métro;LOUISE MICHEL;3577070;3;;;;;Levallois-Perret;;;;;
143;Métro;CRETEIL-UNIVERSITE;3598231;8;;;;;Créteil;;;;;
173;Métro;PORTE DE CHOISY;3094950;7;;;;;Paris;13;;;;
184;Métro;PORTE DAUPHINE;2879755;2;;;;;Paris;16;;;;
284;Métro;MOUTON-DUVERNET;1300317;4;;;;;Paris;14;;;;
280;Métro;CHEMIN VERT;1445627;8;;;;;Paris;11;;;;
290;Métro;RENNES;1218261;12;;;;;Paris;6;;;;
17;RER;NEUILLY-PLAISANCE;5390454;A;;;;;Neuilly-sur-Seine;;;;;
54;RER;PALAISEAU;1028405;B;;;;;Palaiseau;;;;;
64;RER;COURCELLE-SUR-YVETTE;610753;B;;;;;Gif sur Yvette;;;;;
6;Métro;REPUBLIQUE;18340798;3;5;8;9;11;Paris;11;;;;
27;Métro;TROCADERO;8351649;6;9;;;;Paris;16;;;;
44;Métro;GRANDS BOULEVARDS;6889717;8;9;;;;Paris;9;;;;
84;Métro;VOLTAIRE;5036297;9;;;;;Paris;11;;;;
79;Métro;RICHELIEU-DROUOT;5157761;8;9;;;;Paris;9;;;;
124;Métro;LA MUETTE;3977748;9;;;;;Paris;16;;;;
168;Métro;FAIDHERBE-CHALIGNY;3134776;8;;;;;Paris;12;;;;
221;Métro;CRETEIL-L'ECHAT;2388835;8;;;;;Créteil;;;;;
239;Métro;MAISONS-ALFORT-LES JUILLIOTTES;2196535;8;;;;;Maisons -Alfort;;;;;
260;Métro;MAISONS-ALFORT-STADE;1831297;8;;;;;Maisons -Alfort;;;;;
281;Métro;VARENNE;1429509;13;;;;;Paris;7;;;;
22;RER;BOURG-LA-REINE;4462976;B;;;;;Bourg la Reine;;;;;
30;RER;LAPLACE;3552088;B;;;;;Arcueil;;;;;
23;Métro;PLACE CLICHY;9024733;2;13;;;;Paris;17;;;;
26;Métro;CHARLES DE GAULLE-ETOILE;8381433;1;2;6;;;Paris;8;;;;
60;Métro;GEORGE V;5891713;1;;;;;Paris;8;;;;
88;Métro;GLACIERE;4966081;6;;;;;Paris;13;;;;
99;Métro;PORTE DE MONTREUIL;4647724;9;;;;;Paris;20;;;;
98;Métro;MAIRIE DES LILAS;4656048;11;;;;;Les Lilas;;;;;
114;Métro;OBERKAMPF;4192585;5;9;;;;Paris;11;;;;
162;Métro;SAINT-PLACIDE;3281669;4;;;;;Paris;6;;;;
165;Métro;BOUCICAUT;3172612;8;;;;;Paris;15;;;;
146;Métro;CHEVALERET;3550425;6;;;;;Paris;13;;;;
171;Métro;MAIRIE D'IVRY;3102623;7;;;;;Ivry;;;;;
212;Métro;VILLEJUIF-LEO LAGRANGE;2529256;7;;;;;Villejuif;;;;;
230;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2297351;7;;;;;Villejuif;;;;;
263;Métro;RASPAIL;1773665;4;6;;;;Paris;14;;;;
266;Métro;SAINT-FRANCOIS-XAVIER;1725103;13;;;;;Paris;7;;;;
285;Métro;CAMPO-FORMIO;1281234;5;;;;;Paris;13;;;;
55;RER;SAINT-REMY-LES-CHEVREUSE;974338;B;;;;;St-Rémy-Lès-Chevreuse;;;;;
