Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
3;Métro;GARE DE LYON;22232810;1;14;A;;;Paris;12
5;Métro;GARE DE L'EST;11715190;4;5;7;;;Paris;10
7;Métro;LA DEFENSE;8616589;1;;;;;Puteaux;
9;Métro;REPUBLIQUE;6988692;3;5;8;9;11;Paris;11
12;Métro;BELLEVILLE;5680933;2;11;;;;Paris;10
30;Métro;REUILLY-DIDEROT;3860750;1;8;;;;Paris;12
34;Métro;CHATEAU DE VINCENNES;3735738;1;;;;;Vincennes;
4;Métro;MONTPARNASSE-BIENVENUE;13783944;4;6;12;13;;Paris;14
35;Métro;PALAIS-ROYAL;3678654;1;7;;;;Paris;1
14;Métro;PLACE D'ITALIE;5031748;5;6;7;;;Paris;13
36;Métro;PONT DE NEUILLY;3678074;1;;;;;Neuilly Sur Seine;
17;Métro;PORTE DE VINCENNES;4840436;1;;;;;Paris;12
42;Métro;SAINT-MANDE-TOURELLE;3487584;1;;;;;Saint Mandé;
19;Métro;CHATEAU ROUGE;4761367;4;;;;;Paris;18
43;Métro;MAIRIE DE MONTROUGE;3456791;4;;;;;Montrouge;
23;Métro;GARE D'AUSTERLITZ;4638836;5;10;;;;Paris;13
47;Métro;MAIRIE DE CLICHY;3316323;13;;;;;Clichy;
24;Métro;ESPLANADE DE LA DEFENSE;4488878;1;;;;;Puteaux;
52;Métro;MARCADET-POISSONNIERS;3169019;4;12;;;;Paris;18
25;Métro;MADELEINE;4297547;8;12;14;;;Paris;8
54;Métro;JAURES;3148221;2;5;7bis;;;Paris;19
32;Métro;PORTE MAILLOT;3784418;1;;;;;Paris;16
55;Métro;PYRAMIDES;3048580;7;14;;;;Paris;1
51;Métro;BERCY;3189247;6;14;;;;Paris;12
61;Métro;COUR SAINT-EMILION;2792734;14;;;;;Paris;12
56;Métro;LES SABLONS;2965575;1;;;;;Neuilly Sur Seine;
66;Métro;INVALIDES;2678838;8;13;;;;Paris;7
67;Métro;CONVENTION;2674415;12;;;;;Paris;15
13;Métro;HOTEL DE VILLE;5673100;1;11;;;;Paris;4
69;Métro;PONT DE SEVRES;2651763;9;;;;;Boulogne Billancourt;
71;Métro;BALARD;2643639;8;;;;;Paris;15
18;Métro;MAIRIE DE MONTREUIL;4764601;9;;;;;Montreuil;
70;Métro;BIR-HAKEIM;2644407;6;;;;;Paris;15
85;Métro;SAINT-MICHEL;2481981;4;;;;;Paris;5
20;Métro;BOBIGNY-PABLO PICASSO;4752569;5;;;;;Bobigny;
72;Métro;SAINT-DENIS-UNIVERSITE;2626602;13;;;;;Saint Denis;
87;Métro;PORTE DE VANVES;2460078;13;;;;;Paris;14
21;Métro;OLYMPIADES;4717069;14;;;;;Paris;13
77;Métro;HOCHE;2616315;5;;;;;Pantin;
90;Métro;SEVRES-BABYLONE;2441636;10;12;;;;Paris;7
